cudagraph_mode,manipulated,batch_size,graph_batch_size,during_time,index,length,avg_power_js,total_energy_j,energy_per_sample,throughput,timestamp,power,temperature,graphics_clock,sm_clock,memory_clock,memory_used,memory_total,gpu_util,memory_util,power_violation_time_ns,power_reference_time_ns,thermal_violation_time_ns,decoding_steps,perf_state,power_state,total_energy,model_mode,kv_cache_lens,model_name,graph_mode,repeat_count,input_len,target_sm_clock,iteration
PIECEWISE,False,8,,2.4351,1,25,,,,,1774576917.5452597,77.589,28,2302,2302,12481,89614.25,97887.0,100,4,1194897440,1774576917539550,0,,0,0,33068571334,,0,Qwen/Qwen3-1.7B_prefill-mlp,seg,81,32,330,0
PIECEWISE,False,8,,2.4351,2,25,,,,,1774576917.5744994,88.958,28,1140,1140,12481,89614.25,97887.0,100,4,1194897440,1774576917566977,0,,0,0,33068571334,,0,Qwen/Qwen3-1.7B_prefill-mlp,seg,81,32,330,0
PIECEWISE,False,8,,2.4351,3,25,,,,,1774576917.6817534,89.541,28,1140,1140,12481,89614.25,97887.0,97,4,1194897440,1774576917675622,0,,0,0,33068580033,,0,Qwen/Qwen3-1.7B_prefill-mlp,seg,81,32,330,0
PIECEWISE,False,8,,2.4351,4,25,,,,,1774576917.7870264,89.923,28,1140,1140,12481,89614.25,97887.0,97,4,1194897440,1774576917782670,0,,0,0,33068589096,,0,Qwen/Qwen3-1.7B_prefill-mlp,seg,81,32,330,0
PIECEWISE,False,8,,2.4351,5,25,,,,,1774576917.8923385,90.002,28,330,330,12481,89614.25,97887.0,100,4,1194897440,1774576917887937,0,,0,0,33068598163,,0,Qwen/Qwen3-1.7B_prefill-mlp,seg,81,32,330,0
PIECEWISE,False,8,,2.4351,6,25,,,,,1774576918.000422,90.145,28,330,330,12481,89614.25,97887.0,100,4,1194897440,1774576917993232,0,,0,0,33068607234,,0,Qwen/Qwen3-1.7B_prefill-mlp,seg,81,32,330,0
PIECEWISE,False,8,,2.4351,7,25,,,,,1774576918.1057162,90.232,28,330,330,12481,89614.25,97887.0,100,4,1194897440,1774576918101304,0,,0,0,33068616304,,0,Qwen/Qwen3-1.7B_prefill-mlp,seg,81,32,330,0
PIECEWISE,False,8,,2.4351,8,25,,,,,1774576918.210958,90.295,28,330,330,12481,89614.25,97887.0,100,4,1194897440,1774576918206599,0,,0,0,33068625374,,0,Qwen/Qwen3-1.7B_prefill-mlp,seg,81,32,330,0
PIECEWISE,False,8,,2.4351,9,25,,,,,1774576918.3161867,90.337,28,330,330,12481,89614.25,97887.0,100,4,1194897440,1774576918311844,0,,0,0,33068634430,,0,Qwen/Qwen3-1.7B_prefill-mlp,seg,81,32,330,0
PIECEWISE,False,8,,2.4351,10,25,,,,,1774576918.42136,90.374,28,330,330,12481,89614.25,97887.0,100,4,1194897440,1774576918417090,0,,0,0,33068643471,,0,Qwen/Qwen3-1.7B_prefill-mlp,seg,81,32,330,0
