cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,avg_temperature_C
FULL,128,330,1000,Qwen/Qwen3-1.7B_decoding-all,28.25
FULL,64,330,1000,Qwen/Qwen3-1.7B_decoding-all,29.0
FULL,32,330,1000,Qwen/Qwen3-1.7B_decoding-all,28.0
FULL,16,330,1000,Qwen/Qwen3-1.7B_decoding-all,27.916666666666668
FULL,8,330,1000,Qwen/Qwen3-1.7B_decoding-all,27.0
FULL,4,330,1000,Qwen/Qwen3-1.7B_decoding-all,26.992424242424246
FULL,2,330,1000,Qwen/Qwen3-1.7B_decoding-all,26.0
FULL,1,330,1000,Qwen/Qwen3-1.7B_decoding-all,26.0
FULL,128,630,1000,Qwen/Qwen3-1.7B_decoding-all,30.288461538461537
FULL,64,630,1000,Qwen/Qwen3-1.7B_decoding-all,31.016666666666666
FULL,32,630,1000,Qwen/Qwen3-1.7B_decoding-all,31.0
FULL,16,630,1000,Qwen/Qwen3-1.7B_decoding-all,30.0
FULL,8,630,1000,Qwen/Qwen3-1.7B_decoding-all,29.083333333333332
FULL,4,630,1000,Qwen/Qwen3-1.7B_decoding-all,28.743589743589748
FULL,2,630,1000,Qwen/Qwen3-1.7B_decoding-all,28.0
FULL,1,630,1000,Qwen/Qwen3-1.7B_decoding-all,28.0
FULL,128,930,1000,Qwen/Qwen3-1.7B_decoding-all,32.083333333333336
FULL,64,930,1000,Qwen/Qwen3-1.7B_decoding-all,33.0
FULL,32,930,1000,Qwen/Qwen3-1.7B_decoding-all,32.0
FULL,16,930,1000,Qwen/Qwen3-1.7B_decoding-all,31.099999999999998
FULL,8,930,1000,Qwen/Qwen3-1.7B_decoding-all,30.135416666666668
FULL,4,930,1000,Qwen/Qwen3-1.7B_decoding-all,29.590625
FULL,2,930,1000,Qwen/Qwen3-1.7B_decoding-all,29.0
FULL,1,930,1000,Qwen/Qwen3-1.7B_decoding-all,29.61111111111111
FULL,128,1230,1000,Qwen/Qwen3-1.7B_decoding-all,34.333333333333336
FULL,64,1230,1000,Qwen/Qwen3-1.7B_decoding-all,35.375
FULL,32,1230,1000,Qwen/Qwen3-1.7B_decoding-all,35.32523148148149
FULL,16,1230,1000,Qwen/Qwen3-1.7B_decoding-all,35.0
FULL,8,1230,1000,Qwen/Qwen3-1.7B_decoding-all,34.24166666666667
FULL,4,1230,1000,Qwen/Qwen3-1.7B_decoding-all,34.0
FULL,2,1230,1000,Qwen/Qwen3-1.7B_decoding-all,33.56481481481482
FULL,1,1230,1000,Qwen/Qwen3-1.7B_decoding-all,33.06481481481481
FULL,128,1530,1000,Qwen/Qwen3-1.7B_decoding-all,39.56666666666667
FULL,64,1530,1000,Qwen/Qwen3-1.7B_decoding-all,40.670138888888886
FULL,32,1530,1000,Qwen/Qwen3-1.7B_decoding-all,40.0
FULL,16,1530,1000,Qwen/Qwen3-1.7B_decoding-all,39.0
FULL,8,1530,1000,Qwen/Qwen3-1.7B_decoding-all,37.666666666666664
FULL,4,1530,1000,Qwen/Qwen3-1.7B_decoding-all,36.5
FULL,2,1530,1000,Qwen/Qwen3-1.7B_decoding-all,35.574074074074076
FULL,1,1530,1000,Qwen/Qwen3-1.7B_decoding-all,35.0
FULL,128,1830,1000,Qwen/Qwen3-1.7B_decoding-all,42.05833333333333
FULL,64,1830,1000,Qwen/Qwen3-1.7B_decoding-all,43.0
FULL,32,1830,1000,Qwen/Qwen3-1.7B_decoding-all,42.90740740740741
FULL,16,1830,1000,Qwen/Qwen3-1.7B_decoding-all,41.19166666666667
FULL,8,1830,1000,Qwen/Qwen3-1.7B_decoding-all,39.791666666666664
FULL,4,1830,1000,Qwen/Qwen3-1.7B_decoding-all,38.5462962962963
FULL,2,1830,1000,Qwen/Qwen3-1.7B_decoding-all,37.5
FULL,1,1830,1000,Qwen/Qwen3-1.7B_decoding-all,37.0
FULL,128,2130,1000,Qwen/Qwen3-1.7B_decoding-all,44.86363636363637
FULL,64,2130,1000,Qwen/Qwen3-1.7B_decoding-all,45.0
FULL,32,2130,1000,Qwen/Qwen3-1.7B_decoding-all,45.0
FULL,16,2130,1000,Qwen/Qwen3-1.7B_decoding-all,45.0
FULL,8,2130,1000,Qwen/Qwen3-1.7B_decoding-all,43.67424242424243
FULL,4,2130,1000,Qwen/Qwen3-1.7B_decoding-all,42.31666666666667
FULL,2,2130,1000,Qwen/Qwen3-1.7B_decoding-all,41.13333333333333
FULL,1,2130,1000,Qwen/Qwen3-1.7B_decoding-all,41.0
FULL,128,2430,1000,Qwen/Qwen3-1.7B_decoding-all,49.041666666666664
FULL,64,2430,1000,Qwen/Qwen3-1.7B_decoding-all,50.0
FULL,32,2430,1000,Qwen/Qwen3-1.7B_decoding-all,49.17424242424243
FULL,16,2430,1000,Qwen/Qwen3-1.7B_decoding-all,47.416666666666664
FULL,8,2430,1000,Qwen/Qwen3-1.7B_decoding-all,45.583333333333336
FULL,4,2430,1000,Qwen/Qwen3-1.7B_decoding-all,44.06818181818181
FULL,2,2430,1000,Qwen/Qwen3-1.7B_decoding-all,44.0
FULL,1,2430,1000,Qwen/Qwen3-1.7B_decoding-all,44.0
