cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,latency_sec_per_token
FULL,128,330,1000,Qwen/Qwen3-1.7B_decoding-all,0.00034009602864583334
FULL,64,330,1000,Qwen/Qwen3-1.7B_decoding-all,0.0003915053638059702
FULL,32,330,1000,Qwen/Qwen3-1.7B_decoding-all,0.0006602457682291668
FULL,16,330,1000,Qwen/Qwen3-1.7B_decoding-all,0.0010302703373015875
FULL,8,330,1000,Qwen/Qwen3-1.7B_decoding-all,0.001832053376906318
FULL,4,330,1000,Qwen/Qwen3-1.7B_decoding-all,0.003380255991285403
FULL,2,330,1000,Qwen/Qwen3-1.7B_decoding-all,0.006526089324618736
FULL,1,330,1000,Qwen/Qwen3-1.7B_decoding-all,0.011030717054263567
FULL,128,630,1000,Qwen/Qwen3-1.7B_decoding-all,0.00021096014492753623
FULL,64,630,1000,Qwen/Qwen3-1.7B_decoding-all,0.00024101460774739585
FULL,32,630,1000,Qwen/Qwen3-1.7B_decoding-all,0.000387212692481884
FULL,16,630,1000,Qwen/Qwen3-1.7B_decoding-all,0.000620200585399449
FULL,8,630,1000,Qwen/Qwen3-1.7B_decoding-all,0.0011144416099773242
FULL,4,630,1000,Qwen/Qwen3-1.7B_decoding-all,0.002099142573696145
FULL,2,630,1000,Qwen/Qwen3-1.7B_decoding-all,0.004028812358276644
FULL,1,630,1000,Qwen/Qwen3-1.7B_decoding-all,0.007230293819655522
FULL,128,930,1000,Qwen/Qwen3-1.7B_decoding-all,0.0001843529794730392
FULL,64,930,1000,Qwen/Qwen3-1.7B_decoding-all,0.00022212719298245613
FULL,32,930,1000,Qwen/Qwen3-1.7B_decoding-all,0.00032821786917892155
FULL,16,930,1000,Qwen/Qwen3-1.7B_decoding-all,0.0005256804201485607
FULL,8,930,1000,Qwen/Qwen3-1.7B_decoding-all,0.0009256202107279693
FULL,4,930,1000,Qwen/Qwen3-1.7B_decoding-all,0.001762954980842912
FULL,2,930,1000,Qwen/Qwen3-1.7B_decoding-all,0.0033727873563218396
FULL,1,930,1000,Qwen/Qwen3-1.7B_decoding-all,0.0062119267624914445
FULL,128,1230,1000,Qwen/Qwen3-1.7B_decoding-all,0.0001543236400462963
FULL,64,1230,1000,Qwen/Qwen3-1.7B_decoding-all,0.00019059116633858266
FULL,32,1230,1000,Qwen/Qwen3-1.7B_decoding-all,0.00027751545329670333
FULL,16,1230,1000,Qwen/Qwen3-1.7B_decoding-all,0.0004341124131944445
FULL,8,1230,1000,Qwen/Qwen3-1.7B_decoding-all,0.0007540771764032073
FULL,4,1230,1000,Qwen/Qwen3-1.7B_decoding-all,0.0013981457617411222
FULL,2,1230,1000,Qwen/Qwen3-1.7B_decoding-all,0.0027011168384879726
FULL,1,1230,1000,Qwen/Qwen3-1.7B_decoding-all,0.004999360940695296
