cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,power_based_j_per_token
FULL,128,330,1000,Qwen/Qwen3-1.7B_decoding-all,0.04372700895330255
FULL,64,330,1000,Qwen/Qwen3-1.7B_decoding-all,0.04848434364851092
FULL,32,330,1000,Qwen/Qwen3-1.7B_decoding-all,0.07112031129360007
FULL,16,330,1000,Qwen/Qwen3-1.7B_decoding-all,0.10496295935996873
FULL,8,330,1000,Qwen/Qwen3-1.7B_decoding-all,0.17395741043085056
FULL,4,330,1000,Qwen/Qwen3-1.7B_decoding-all,0.30718290574494944
FULL,2,330,1000,Qwen/Qwen3-1.7B_decoding-all,0.5785488212509903
FULL,1,330,1000,Qwen/Qwen3-1.7B_decoding-all,1.0235190764534885
FULL,128,630,1000,Qwen/Qwen3-1.7B_decoding-all,0.034649874982154424
FULL,64,630,1000,Qwen/Qwen3-1.7B_decoding-all,0.03818738431844076
FULL,32,630,1000,Qwen/Qwen3-1.7B_decoding-all,0.05386720159021645
FULL,16,630,1000,Qwen/Qwen3-1.7B_decoding-all,0.07987306909545631
FULL,8,630,1000,Qwen/Qwen3-1.7B_decoding-all,0.13295137306247817
FULL,4,630,1000,Qwen/Qwen3-1.7B_decoding-all,0.2378361904789159
FULL,2,630,1000,Qwen/Qwen3-1.7B_decoding-all,0.4435603051044937
FULL,1,630,1000,Qwen/Qwen3-1.7B_decoding-all,0.8235746620502428
FULL,128,930,1000,Qwen/Qwen3-1.7B_decoding-all,0.0333645138762231
FULL,64,930,1000,Qwen/Qwen3-1.7B_decoding-all,0.037749247435633855
FULL,32,930,1000,Qwen/Qwen3-1.7B_decoding-all,0.051215336191214766
FULL,16,930,1000,Qwen/Qwen3-1.7B_decoding-all,0.07569045633733751
FULL,8,930,1000,Qwen/Qwen3-1.7B_decoding-all,0.12397061546218237
FULL,4,930,1000,Qwen/Qwen3-1.7B_decoding-all,0.22366730725738346
FULL,2,930,1000,Qwen/Qwen3-1.7B_decoding-all,0.4150660154259259
FULL,1,930,1000,Qwen/Qwen3-1.7B_decoding-all,0.7808117826374628
FULL,128,1230,1000,Qwen/Qwen3-1.7B_decoding-all,0.03256816290532568
FULL,64,1230,1000,Qwen/Qwen3-1.7B_decoding-all,0.03709292577250678
FULL,32,1230,1000,Qwen/Qwen3-1.7B_decoding-all,0.05017456901216549
FULL,16,1230,1000,Qwen/Qwen3-1.7B_decoding-all,0.0731302593267747
FULL,8,1230,1000,Qwen/Qwen3-1.7B_decoding-all,0.11825648982825822
FULL,4,1230,1000,Qwen/Qwen3-1.7B_decoding-all,0.20981914108517885
FULL,2,1230,1000,Qwen/Qwen3-1.7B_decoding-all,0.39037874736958283
FULL,1,1230,1000,Qwen/Qwen3-1.7B_decoding-all,0.7349788736792774
FULL,128,1530,1000,Qwen/Qwen3-1.7B_decoding-all,0.0330689443951965
FULL,64,1530,1000,Qwen/Qwen3-1.7B_decoding-all,0.03757441356970907
FULL,32,1530,1000,Qwen/Qwen3-1.7B_decoding-all,0.05097106089704195
FULL,16,1530,1000,Qwen/Qwen3-1.7B_decoding-all,0.07366807905073174
FULL,8,1530,1000,Qwen/Qwen3-1.7B_decoding-all,0.11828025725704064
FULL,4,1530,1000,Qwen/Qwen3-1.7B_decoding-all,0.20789793415281627
FULL,2,1530,1000,Qwen/Qwen3-1.7B_decoding-all,0.38446921411588175
FULL,1,1530,1000,Qwen/Qwen3-1.7B_decoding-all,0.7217493307801615
FULL,128,1830,1000,Qwen/Qwen3-1.7B_decoding-all,0.033706216564151896
FULL,64,1830,1000,Qwen/Qwen3-1.7B_decoding-all,0.03823308805688749
FULL,32,1830,1000,Qwen/Qwen3-1.7B_decoding-all,0.05180129578382202
FULL,16,1830,1000,Qwen/Qwen3-1.7B_decoding-all,0.07494763500555945
FULL,8,1830,1000,Qwen/Qwen3-1.7B_decoding-all,0.11959724306471833
FULL,4,1830,1000,Qwen/Qwen3-1.7B_decoding-all,0.20939415682548868
FULL,2,1830,1000,Qwen/Qwen3-1.7B_decoding-all,0.3865401047646605
FULL,1,1830,1000,Qwen/Qwen3-1.7B_decoding-all,0.7211051730772179
FULL,128,2130,1000,Qwen/Qwen3-1.7B_decoding-all,0.03611509467348515
FULL,64,2130,1000,Qwen/Qwen3-1.7B_decoding-all,0.038943579844965534
FULL,32,2130,1000,Qwen/Qwen3-1.7B_decoding-all,0.054683868915704606
FULL,16,2130,1000,Qwen/Qwen3-1.7B_decoding-all,0.08544559673660289
FULL,8,2130,1000,Qwen/Qwen3-1.7B_decoding-all,0.1349152571137986
FULL,4,2130,1000,Qwen/Qwen3-1.7B_decoding-all,0.23492014035192565
FULL,2,2130,1000,Qwen/Qwen3-1.7B_decoding-all,0.43334080769772765
FULL,1,2130,1000,Qwen/Qwen3-1.7B_decoding-all,0.8096808480545671
FULL,128,2430,1000,Qwen/Qwen3-1.7B_decoding-all,0.04022289434579354
FULL,64,2430,1000,Qwen/Qwen3-1.7B_decoding-all,0.045575385806537104
FULL,32,2430,1000,Qwen/Qwen3-1.7B_decoding-all,0.061219963690091014
FULL,16,2430,1000,Qwen/Qwen3-1.7B_decoding-all,0.08703805196989634
FULL,8,2430,1000,Qwen/Qwen3-1.7B_decoding-all,0.13650614434182864
FULL,4,2430,1000,Qwen/Qwen3-1.7B_decoding-all,0.2405069782091751
FULL,2,2430,1000,Qwen/Qwen3-1.7B_decoding-all,0.4828371981744528
FULL,1,2430,1000,Qwen/Qwen3-1.7B_decoding-all,0.8965538742823583
