cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,total_energy_based_avg_power_W
FULL,128,330,1000,Qwen/Qwen3-1.7B_decoding-all,125.47302848300671
FULL,64,330,1000,Qwen/Qwen3-1.7B_decoding-all,119.85872635304511
FULL,32,330,1000,Qwen/Qwen3-1.7B_decoding-all,105.1615288853829
FULL,16,330,1000,Qwen/Qwen3-1.7B_decoding-all,99.24098169256509
FULL,8,330,1000,Qwen/Qwen3-1.7B_decoding-all,93.0638592005708
FULL,4,330,1000,Qwen/Qwen3-1.7B_decoding-all,89.55197666830483
FULL,2,330,1000,Qwen/Qwen3-1.7B_decoding-all,86.85020739615587
FULL,1,330,1000,Qwen/Qwen3-1.7B_decoding-all,90.81533244902798
FULL,128,630,1000,Qwen/Qwen3-1.7B_decoding-all,161.29313814942034
FULL,64,630,1000,Qwen/Qwen3-1.7B_decoding-all,153.69826993124462
FULL,32,630,1000,Qwen/Qwen3-1.7B_decoding-all,136.04136131204106
FULL,16,630,1000,Qwen/Qwen3-1.7B_decoding-all,125.86119304577161
FULL,8,630,1000,Qwen/Qwen3-1.7B_decoding-all,117.45469574616902
FULL,4,630,1000,Qwen/Qwen3-1.7B_decoding-all,110.79208455563396
FULL,2,630,1000,Qwen/Qwen3-1.7B_decoding-all,107.52100973360115
FULL,1,630,1000,Qwen/Qwen3-1.7B_decoding-all,112.74273783333099
FULL,128,930,1000,Qwen/Qwen3-1.7B_decoding-all,177.89437193915444
FULL,64,930,1000,Qwen/Qwen3-1.7B_decoding-all,166.5228243163195
FULL,32,930,1000,Qwen/Qwen3-1.7B_decoding-all,153.66411233981978
FULL,16,930,1000,Qwen/Qwen3-1.7B_decoding-all,140.8814624897541
FULL,8,930,1000,Qwen/Qwen3-1.7B_decoding-all,132.87331938045062
FULL,4,930,1000,Qwen/Qwen3-1.7B_decoding-all,124.59341763898885
FULL,2,930,1000,Qwen/Qwen3-1.7B_decoding-all,121.06424248620492
FULL,1,930,1000,Qwen/Qwen3-1.7B_decoding-all,123.47226775015494
FULL,128,1230,1000,Qwen/Qwen3-1.7B_decoding-all,207.58499463290474
FULL,64,1230,1000,Qwen/Qwen3-1.7B_decoding-all,189.4060625621991
FULL,32,1230,1000,Qwen/Qwen3-1.7B_decoding-all,176.18623356535187
FULL,16,1230,1000,Qwen/Qwen3-1.7B_decoding-all,165.7886212188623
FULL,8,1230,1000,Qwen/Qwen3-1.7B_decoding-all,153.1642132545963
FULL,4,1230,1000,Qwen/Qwen3-1.7B_decoding-all,146.61267940991232
FULL,2,1230,1000,Qwen/Qwen3-1.7B_decoding-all,140.27448236379252
FULL,1,1230,1000,Qwen/Qwen3-1.7B_decoding-all,141.51818995270358
FULL,128,1530,1000,Qwen/Qwen3-1.7B_decoding-all,251.74098412315908
FULL,64,1530,1000,Qwen/Qwen3-1.7B_decoding-all,235.22815743368824
FULL,32,1530,1000,Qwen/Qwen3-1.7B_decoding-all,218.12287507072483
FULL,16,1530,1000,Qwen/Qwen3-1.7B_decoding-all,201.82777179763184
FULL,8,1530,1000,Qwen/Qwen3-1.7B_decoding-all,184.96558391158248
FULL,4,1530,1000,Qwen/Qwen3-1.7B_decoding-all,176.83433452271623
FULL,2,1530,1000,Qwen/Qwen3-1.7B_decoding-all,166.96630089968278
FULL,1,1530,1000,Qwen/Qwen3-1.7B_decoding-all,174.0604933843255
FULL,128,1830,1000,Qwen/Qwen3-1.7B_decoding-all,306.0117046276211
FULL,64,1830,1000,Qwen/Qwen3-1.7B_decoding-all,278.5815080142246
FULL,32,1830,1000,Qwen/Qwen3-1.7B_decoding-all,259.7049256505577
FULL,16,1830,1000,Qwen/Qwen3-1.7B_decoding-all,232.26598656499806
FULL,8,1830,1000,Qwen/Qwen3-1.7B_decoding-all,221.59617779589252
FULL,4,1830,1000,Qwen/Qwen3-1.7B_decoding-all,206.75680316328086
FULL,2,1830,1000,Qwen/Qwen3-1.7B_decoding-all,199.82132515063145
FULL,1,1830,1000,Qwen/Qwen3-1.7B_decoding-all,201.3566770062833
FULL,128,2130,1000,Qwen/Qwen3-1.7B_decoding-all,342.19568694947856
FULL,64,2130,1000,Qwen/Qwen3-1.7B_decoding-all,295.61601310213365
FULL,32,2130,1000,Qwen/Qwen3-1.7B_decoding-all,290.3059742758624
FULL,16,2130,1000,Qwen/Qwen3-1.7B_decoding-all,287.2116008694553
FULL,8,2130,1000,Qwen/Qwen3-1.7B_decoding-all,267.84525541289815
FULL,4,2130,1000,Qwen/Qwen3-1.7B_decoding-all,253.05902782563157
FULL,2,2130,1000,Qwen/Qwen3-1.7B_decoding-all,241.59990872876278
FULL,1,2130,1000,Qwen/Qwen3-1.7B_decoding-all,249.03122527632675
FULL,128,2430,1000,Qwen/Qwen3-1.7B_decoding-all,381.3105156576423
FULL,64,2430,1000,Qwen/Qwen3-1.7B_decoding-all,350.95347257948345
FULL,32,2430,1000,Qwen/Qwen3-1.7B_decoding-all,332.1323550185049
FULL,16,2430,1000,Qwen/Qwen3-1.7B_decoding-all,307.560441999461
FULL,8,2430,1000,Qwen/Qwen3-1.7B_decoding-all,283.66592722500314
FULL,4,2430,1000,Qwen/Qwen3-1.7B_decoding-all,274.2200476622308
FULL,2,2430,1000,Qwen/Qwen3-1.7B_decoding-all,280.05961920635946
FULL,1,2430,1000,Qwen/Qwen3-1.7B_decoding-all,278.5569422454456
