cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,total_energy_based_j_per_token
FULL,128,330,1000,Qwen/Qwen3-1.7B_decoding-all,0.04267287868923611
FULL,64,330,1000,Qwen/Qwen3-1.7B_decoding-all,0.046925334266169155
FULL,32,330,1000,Qwen/Qwen3-1.7B_decoding-all,0.06943245442708333
FULL,16,330,1000,Qwen/Qwen3-1.7B_decoding-all,0.10224503968253969
FULL,8,330,1000,Qwen/Qwen3-1.7B_decoding-all,0.17049795751633987
FULL,4,330,1000,Qwen/Qwen3-1.7B_decoding-all,0.30270860566448804
FULL,2,330,1000,Qwen/Qwen3-1.7B_decoding-all,0.5667922113289761
FULL,1,330,1000,Qwen/Qwen3-1.7B_decoding-all,1.0017582364341084
FULL,128,630,1000,Qwen/Qwen3-1.7B_decoding-all,0.034026423799818836
FULL,64,630,1000,Qwen/Qwen3-1.7B_decoding-all,0.03704352823893229
FULL,32,630,1000,Qwen/Qwen3-1.7B_decoding-all,0.05267694180253623
FULL,16,630,1000,Qwen/Qwen3-1.7B_decoding-all,0.07805918560606061
FULL,8,630,1000,Qwen/Qwen3-1.7B_decoding-all,0.13089640022675736
FULL,4,630,1000,Qwen/Qwen3-1.7B_decoding-all,0.2325683815192744
FULL,2,630,1000,Qwen/Qwen3-1.7B_decoding-all,0.4331819727891157
FULL,1,630,1000,Qwen/Qwen3-1.7B_decoding-all,0.8151631205673759
FULL,128,930,1000,Qwen/Qwen3-1.7B_decoding-all,0.03279535749846814
FULL,64,930,1000,Qwen/Qwen3-1.7B_decoding-all,0.03698924753289473
FULL,32,930,1000,Qwen/Qwen3-1.7B_decoding-all,0.05043530752144608
FULL,16,930,1000,Qwen/Qwen3-1.7B_decoding-all,0.07405862639275766
FULL,8,930,1000,Qwen/Qwen3-1.7B_decoding-all,0.12299022988505748
FULL,4,930,1000,Qwen/Qwen3-1.7B_decoding-all,0.21965258620689654
FULL,2,930,1000,Qwen/Qwen3-1.7B_decoding-all,0.40832394636015323
FULL,1,930,1000,Qwen/Qwen3-1.7B_decoding-all,0.7670006844626968
FULL,128,1230,1000,Qwen/Qwen3-1.7B_decoding-all,0.03203527199074074
FULL,64,1230,1000,Qwen/Qwen3-1.7B_decoding-all,0.036099122375328085
FULL,32,1230,1000,Qwen/Qwen3-1.7B_decoding-all,0.04889440247252747
FULL,16,1230,1000,Qwen/Qwen3-1.7B_decoding-all,0.0719708984375
FULL,8,1230,1000,Qwen/Qwen3-1.7B_decoding-all,0.11549763745704467
FULL,4,1230,1000,Qwen/Qwen3-1.7B_decoding-all,0.2049858963344788
FULL,2,1230,1000,Qwen/Qwen3-1.7B_decoding-all,0.3788977663230241
FULL,1,1230,1000,Qwen/Qwen3-1.7B_decoding-all,0.7075005112474438
FULL,128,1530,1000,Qwen/Qwen3-1.7B_decoding-all,0.03157678803943452
FULL,64,1530,1000,Qwen/Qwen3-1.7B_decoding-all,0.036402945345464136
FULL,32,1530,1000,Qwen/Qwen3-1.7B_decoding-all,0.04930862831858407
FULL,16,1530,1000,Qwen/Qwen3-1.7B_decoding-all,0.07209444910514541
FULL,8,1530,1000,Qwen/Qwen3-1.7B_decoding-all,0.11483546860572483
FULL,4,1530,1000,Qwen/Qwen3-1.7B_decoding-all,0.2033503000923361
FULL,2,1530,1000,Qwen/Qwen3-1.7B_decoding-all,0.3705672899353647
FULL,1,1530,1000,Qwen/Qwen3-1.7B_decoding-all,0.7106716171617161
FULL,128,1830,1000,Qwen/Qwen3-1.7B_decoding-all,0.032899112834266164
FULL,64,1830,1000,Qwen/Qwen3-1.7B_decoding-all,0.03723901151895943
FULL,32,1830,1000,Qwen/Qwen3-1.7B_decoding-all,0.0506705150462963
FULL,16,1830,1000,Qwen/Qwen3-1.7B_decoding-all,0.07188209562265917
FULL,8,1830,1000,Qwen/Qwen3-1.7B_decoding-all,0.1179874614197531
FULL,4,1830,1000,Qwen/Qwen3-1.7B_decoding-all,0.20324604552469136
FULL,2,1830,1000,Qwen/Qwen3-1.7B_decoding-all,0.3793637152777778
FULL,1,1830,1000,Qwen/Qwen3-1.7B_decoding-all,0.6988702553485162
FULL,128,2130,1000,Qwen/Qwen3-1.7B_decoding-all,0.03526336722088675
FULL,64,2130,1000,Qwen/Qwen3-1.7B_decoding-all,0.03799039787861491
FULL,32,2130,1000,Qwen/Qwen3-1.7B_decoding-all,0.05355525975318472
FULL,16,2130,1000,Qwen/Qwen3-1.7B_decoding-all,0.08294947665056361
FULL,8,2130,1000,Qwen/Qwen3-1.7B_decoding-all,0.13181341301460822
FULL,4,2130,1000,Qwen/Qwen3-1.7B_decoding-all,0.22860694721115538
FULL,2,2130,1000,Qwen/Qwen3-1.7B_decoding-all,0.4218413014608234
FULL,1,2130,1000,Qwen/Qwen3-1.7B_decoding-all,0.7981221826809015
FULL,128,2430,1000,Qwen/Qwen3-1.7B_decoding-all,0.038751812065972224
FULL,64,2430,1000,Qwen/Qwen3-1.7B_decoding-all,0.04423603502656042
FULL,32,2430,1000,Qwen/Qwen3-1.7B_decoding-all,0.05952939091435186
FULL,16,2430,1000,Qwen/Qwen3-1.7B_decoding-all,0.0850876754385965
FULL,8,2430,1000,Qwen/Qwen3-1.7B_decoding-all,0.1325082465277778
FULL,4,2430,1000,Qwen/Qwen3-1.7B_decoding-all,0.2351470630787037
FULL,2,2430,1000,Qwen/Qwen3-1.7B_decoding-all,0.47402886284722223
FULL,1,2430,1000,Qwen/Qwen3-1.7B_decoding-all,0.8705912144702843
