cudagraph_mode,manipulated,batch_size,graph_batch_size,during_time,index,length,avg_power_js,total_energy_j,energy_per_sample,throughput,timestamp,power,temperature,graphics_clock,sm_clock,memory_clock,memory_used,memory_total,gpu_util,memory_util,power_violation_time_ns,power_reference_time_ns,thermal_violation_time_ns,decoding_steps,perf_state,power_state,total_energy,model_mode,kv_cache_lens,model_name,graph_mode,repeat_count,input_len,target_sm_clock,iteration
FULL,False,128,128,2.0881,1,21,,,,,1774838192.1858034,122.09,28,330,330,12481,92680.25,97887.0,100,26,1194897440,1774838192177500,0,,0,0,43392553162,,1000,Qwen/Qwen3-1.7B_decoding-all,seg,48,1000,330,0
FULL,False,128,128,2.0881,2,21,,,,,1774838192.286191,122.09,28,330,330,12481,92680.25,97887.0,100,26,1194897440,1774838192273644,0,,0,0,43392564995,,1000,Qwen/Qwen3-1.7B_decoding-all,seg,48,1000,330,0
FULL,False,128,128,2.0881,3,21,,,,,1774838192.3917146,125.032,28,330,330,12481,92680.25,97887.0,100,26,1194897440,1774838192387220,0,,0,0,43392577774,,1000,Qwen/Qwen3-1.7B_decoding-all,seg,48,1000,330,0
FULL,False,128,128,2.0881,4,21,,,,,1774838192.4971838,126.844,28,330,330,12481,92680.25,97887.0,100,26,1194897440,1774838192492696,0,,0,0,43392590574,,1000,Qwen/Qwen3-1.7B_decoding-all,seg,48,1000,330,0
FULL,False,128,128,2.0881,5,21,,,,,1774838192.6059606,128.168,28,330,330,12481,92680.25,97887.0,100,26,1194897440,1774838192598157,0,,0,0,43392603383,,1000,Qwen/Qwen3-1.7B_decoding-all,seg,48,1000,330,0
FULL,False,128,128,2.0881,6,21,,,,,1774838192.7113886,128.339,28,330,330,12481,92680.25,97887.0,100,26,1194897440,1774838192706928,0,,0,0,43392616165,,1000,Qwen/Qwen3-1.7B_decoding-all,seg,48,1000,330,0
FULL,False,128,128,2.0881,7,21,,,,,1774838192.8167913,128.271,28,330,330,12481,92680.25,97887.0,100,26,1194897440,1774838192812335,0,,0,0,43392628962,,1000,Qwen/Qwen3-1.7B_decoding-all,seg,48,1000,330,0
FULL,False,128,128,2.0881,8,21,,,,,1774838192.9259853,128.181,28,330,330,12481,92680.25,97887.0,100,26,1194897440,1774838192917722,0,,0,0,43392641748,,1000,Qwen/Qwen3-1.7B_decoding-all,seg,48,1000,330,0
FULL,False,128,128,2.0881,9,21,,,,,1774838193.0315402,128.216,28,330,330,12481,92680.25,97887.0,100,26,1194897440,1774838193026811,0,,0,0,43392654539,,1000,Qwen/Qwen3-1.7B_decoding-all,seg,48,1000,330,0
FULL,False,128,128,2.0881,10,21,,,,,1774838193.1369174,128.3,28,330,330,12481,92680.25,97887.0,100,26,1194897440,1774838193132441,0,,0,0,43392667356,,1000,Qwen/Qwen3-1.7B_decoding-all,seg,48,1000,330,0
FULL,False,128,128,2.0881,11,21,,,,,1774838193.245958,128.323,28,330,330,12481,92680.25,97887.0,100,26,1194897440,1774838193237763,0,,0,0,43392680181,,1000,Qwen/Qwen3-1.7B_decoding-all,seg,48,1000,330,0
FULL,False,128,128,2.0881,12,21,,,,,1774838193.3513417,128.498,28,330,330,12481,92680.25,97887.0,100,26,1194897440,1774838193346866,0,,0,0,43392692979,,1000,Qwen/Qwen3-1.7B_decoding-all,seg,48,1000,330,0
FULL,False,128,128,2.0881,13,21,,,,,1774838193.4567416,128.489,28,330,330,12481,92680.25,97887.0,100,26,1194897440,1774838193452266,0,,0,0,43392705830,,1000,Qwen/Qwen3-1.7B_decoding-all,seg,48,1000,330,0
FULL,False,128,128,2.0881,14,21,,,,,1774838193.5660582,128.351,28,330,330,12481,92680.25,97887.0,100,26,1194897440,1774838193557697,0,,0,0,43392718613,,1000,Qwen/Qwen3-1.7B_decoding-all,seg,48,1000,330,0
FULL,False,128,128,2.0881,15,21,,,,,1774838193.6716383,128.292,28,330,330,12481,92680.25,97887.0,100,26,1194897440,1774838193666975,0,,0,0,43392744261,,1000,Qwen/Qwen3-1.7B_decoding-all,seg,48,1000,330,0
FULL,False,128,128,2.0881,16,21,,,,,1774838193.7771604,128.36,28,330,330,12481,92680.25,97887.0,100,26,1194897440,1774838193772593,0,,0,0,43392757018,,1000,Qwen/Qwen3-1.7B_decoding-all,seg,48,1000,330,0
FULL,False,128,128,2.0881,17,21,,,,,1774838193.885973,128.276,28,330,330,12481,92680.25,97887.0,100,26,1194897440,1774838193877888,0,,0,0,43392769846,,1000,Qwen/Qwen3-1.7B_decoding-all,seg,48,1000,330,0
FULL,False,128,128,2.0881,18,21,,,,,1774838193.9913476,128.151,28,330,330,12481,92680.25,97887.0,100,26,1194897440,1774838193986901,0,,0,0,43392782700,,1000,Qwen/Qwen3-1.7B_decoding-all,seg,48,1000,330,0
FULL,False,128,128,2.0881,19,21,,,,,1774838194.0968955,128.189,28,330,330,12481,92680.25,97887.0,100,26,1194897440,1774838194092277,0,,0,0,43392795512,,1000,Qwen/Qwen3-1.7B_decoding-all,seg,48,1000,330,0
FULL,False,128,128,2.0881,20,21,,,,,1774838194.205775,128.066,28,330,330,12481,92680.25,97887.0,100,26,1194897440,1774838194197702,0,,0,0,43392808369,,1000,Qwen/Qwen3-1.7B_decoding-all,seg,48,1000,330,0
FULL,False,128,128,2.0881,21,21,,,,,1774838194.278502,128.066,28,330,330,12481,92680.25,97887.0,100,26,1194897440,1774838194274959,0,,0,0,43392821166,,1000,Qwen/Qwen3-1.7B_decoding-all,seg,48,1000,330,0
FULL,False,128,128,2.0884,1,22,,,,,1774838194.806046,128.274,28,330,330,12481,92680.25,97887.0,100,26,1194897440,1774838194801776,0,,0,0,43392884900,,1000,Qwen/Qwen3-1.7B_decoding-all,seg,48,1000,330,1
FULL,False,128,128,2.0884,2,22,,,,,1774838194.8112702,128.274,28,330,330,12481,92680.25,97887.0,100,26,1194897440,1774838194806875,0,,0,0,43392884900,,1000,Qwen/Qwen3-1.7B_decoding-all,seg,48,1000,330,1
FULL,False,128,128,2.0884,3,22,,,,,1774838194.9167192,128.16,28,330,330,12481,92680.25,97887.0,100,26,1194897440,1774838194912252,0,,0,0,43392897406,,1000,Qwen/Qwen3-1.7B_decoding-all,seg,48,1000,330,1
FULL,False,128,128,2.0884,4,22,,,,,1774838195.026146,128.232,28,330,330,12481,92680.25,97887.0,100,26,1194897440,1774838195017656,0,,0,0,43392910198,,1000,Qwen/Qwen3-1.7B_decoding-all,seg,48,1000,330,1
FULL,False,128,128,2.0884,5,22,,,,,1774838195.132138,128.245,28,330,330,12481,92680.25,97887.0,100,26,1194897440,1774838195127140,0,,0,0,43392923025,,1000,Qwen/Qwen3-1.7B_decoding-all,seg,48,1000,330,1
FULL,False,128,128,2.0884,6,22,,,,,1774838195.2375617,128.222,28,330,330,12481,92680.25,97887.0,100,26,1194897440,1774838195233100,0,,0,0,43392935845,,1000,Qwen/Qwen3-1.7B_decoding-all,seg,48,1000,330,1
FULL,False,128,128,2.0884,7,22,,,,,1774838195.3460975,128.292,28,330,330,12481,92680.25,97887.0,100,26,1194897440,1774838195338508,0,,0,0,43392948650,,1000,Qwen/Qwen3-1.7B_decoding-all,seg,48,1000,330,1
FULL,False,128,128,2.0884,8,22,,,,,1774838195.4516063,128.273,28,330,330,12481,92680.25,97887.0,100,26,1194897440,1774838195447080,0,,0,0,43392961451,,1000,Qwen/Qwen3-1.7B_decoding-all,seg,48,1000,330,1
FULL,False,128,128,2.0884,9,22,,,,,1774838195.5570283,128.063,28,330,330,12481,92680.25,97887.0,100,26,1194897440,1774838195552550,0,,0,0,43392974250,,1000,Qwen/Qwen3-1.7B_decoding-all,seg,48,1000,330,1
FULL,False,128,128,2.0884,10,22,,,,,1774838195.6660445,128.114,28,330,330,12481,92680.25,97887.0,100,26,1194897440,1774838195658004,0,,0,0,43392987099,,1000,Qwen/Qwen3-1.7B_decoding-all,seg,48,1000,330,1
FULL,False,128,128,2.0884,11,22,,,,,1774838195.7727342,128.005,28,330,330,12481,92680.25,97887.0,100,26,1194897440,1774838195767013,0,,0,0,43393012764,,1000,Qwen/Qwen3-1.7B_decoding-all,seg,48,1000,330,1
FULL,False,128,128,2.0884,12,22,,,,,1774838195.878147,128.197,28,330,330,12481,92680.25,97887.0,100,26,1194897440,1774838195873643,0,,0,0,43393025616,,1000,Qwen/Qwen3-1.7B_decoding-all,seg,48,1000,330,1
FULL,False,128,128,2.0884,13,22,,,,,1774838195.9861188,128.194,28,330,330,12481,92680.25,97887.0,100,26,1194897440,1774838195979150,0,,0,0,43393038416,,1000,Qwen/Qwen3-1.7B_decoding-all,seg,48,1000,330,1
FULL,False,128,128,2.0884,14,22,,,,,1774838196.0915682,128.245,28,330,330,12481,92680.25,97887.0,100,26,1194897440,1774838196087079,0,,0,0,43393051249,,1000,Qwen/Qwen3-1.7B_decoding-all,seg,48,1000,330,1
FULL,False,128,128,2.0884,15,22,,,,,1774838196.1970282,128.298,28,330,330,12481,92680.25,97887.0,100,26,1194897440,1774838196192528,0,,0,0,43393064147,,1000,Qwen/Qwen3-1.7B_decoding-all,seg,48,1000,330,1
FULL,False,128,128,2.0884,16,22,,,,,1774838196.306037,128.298,28,330,330,12481,92680.25,97887.0,100,26,1194897440,1774838196298029,0,,0,0,43393076931,,1000,Qwen/Qwen3-1.7B_decoding-all,seg,48,1000,330,1
FULL,False,128,128,2.0884,17,22,,,,,1774838196.4115412,128.222,28,330,330,12481,92680.25,97887.0,100,26,1194897440,1774838196406987,0,,0,0,43393089834,,1000,Qwen/Qwen3-1.7B_decoding-all,seg,48,1000,330,1
FULL,False,128,128,2.0884,18,22,,,,,1774838196.5169961,128.406,28,330,330,12481,92680.25,97887.0,100,26,1194897440,1774838196512525,0,,0,0,43393102659,,1000,Qwen/Qwen3-1.7B_decoding-all,seg,48,1000,330,1
FULL,False,128,128,2.0884,19,22,,,,,1774838196.6261559,128.349,28,330,330,12481,92680.25,97887.0,100,26,1194897440,1774838196617993,0,,0,0,43393115463,,1000,Qwen/Qwen3-1.7B_decoding-all,seg,48,1000,330,1
