cudagraph_mode,manipulated,batch_size,graph_batch_size,during_time,index,length,avg_power_js,total_energy_j,energy_per_sample,throughput,timestamp,power,temperature,graphics_clock,sm_clock,memory_clock,memory_used,memory_total,gpu_util,memory_util,power_violation_time_ns,power_reference_time_ns,thermal_violation_time_ns,decoding_steps,perf_state,power_state,total_energy,model_mode,kv_cache_lens,model_name,graph_mode,repeat_count,input_len
FULL,False,8,8,1.6980,1,18,,,,,1773335061.9599733,591.108,65,2280,2280,12481,94708.25,97887.0,100,22,1600898432,1773335061956393,0,,0,0,26519667191,,8197,qwen3,seg,30,8192
FULL,False,8,8,1.6980,2,18,,,,,1773335062.0287995,572.005,64,2280,2280,12481,94708.25,97887.0,100,90,1600898432,1773335062017404,0,,0,0,26519706322,,8197,qwen3,seg,30,8192
FULL,False,8,8,1.6980,3,18,,,,,1773335062.1359673,547.671,63,2422,2422,12481,94708.25,97887.0,100,90,1600898432,1773335062130127,0,,0,0,26519746357,,8197,qwen3,seg,30,8192
FULL,False,8,8,1.6980,4,18,,,,,1773335062.2432277,534.628,63,2422,2422,12481,94708.25,97887.0,100,90,1600898432,1773335062237414,0,,0,0,26519786638,,8197,qwen3,seg,30,8192
FULL,False,8,8,1.6980,5,18,,,,,1773335062.3506746,517.242,63,2422,2422,12481,94708.25,97887.0,100,90,1600898432,1773335062344571,0,,0,0,26519826869,,8197,qwen3,seg,30,8192
FULL,False,8,8,1.6980,6,18,,,,,1773335062.4581726,498.811,63,2422,2422,12481,94708.25,97887.0,100,90,1600898432,1773335062452047,0,,0,0,26519867128,,8197,qwen3,seg,30,8192
FULL,False,8,8,1.6980,7,18,,,,,1773335062.5656786,481.33,63,2422,2422,12481,94708.25,97887.0,100,90,1600898432,1773335062559583,0,,0,0,26519907339,,8197,qwen3,seg,30,8192
FULL,False,8,8,1.6980,8,18,,,,,1773335062.6739464,464.009,63,2422,2422,12481,94708.25,97887.0,100,90,1600898432,1773335062666959,0,,0,0,26519947535,,8197,qwen3,seg,30,8192
FULL,False,8,8,1.6980,9,18,,,,,1773335062.7813787,445.957,63,2422,2422,12481,94708.25,97887.0,100,90,1600898432,1773335062775243,0,,0,0,26519987696,,8197,qwen3,seg,30,8192
FULL,False,8,8,1.6980,10,18,,,,,1773335062.889284,429.047,63,2422,2422,12481,94708.25,97887.0,100,90,1600898432,1773335062882766,0,,0,0,26520068101,,8197,qwen3,seg,30,8192
FULL,False,8,8,1.6980,11,18,,,,,1773335062.996923,401.917,63,2422,2422,12481,94708.25,97887.0,100,90,1600898432,1773335062990497,0,,0,0,26520108298,,8197,qwen3,seg,30,8192
FULL,False,8,8,1.6980,12,18,,,,,1773335063.1043,402.665,63,2422,2422,12481,94708.25,97887.0,100,90,1600898432,1773335063098262,0,,0,0,26520148443,,8197,qwen3,seg,30,8192
FULL,False,8,8,1.6980,13,18,,,,,1773335063.2139351,402.542,63,2422,2422,12481,94708.25,97887.0,100,90,1600898432,1773335063205743,0,,0,0,26520188614,,8197,qwen3,seg,30,8192
FULL,False,8,8,1.6980,14,18,,,,,1773335063.3216207,402.281,62,2422,2422,12481,94708.25,97887.0,100,90,1600898432,1773335063315394,0,,0,0,26520228777,,8197,qwen3,seg,30,8192
FULL,False,8,8,1.6980,15,18,,,,,1773335063.4289722,402.202,62,2422,2422,12481,94708.25,97887.0,100,90,1600898432,1773335063423021,0,,0,0,26520268939,,8197,qwen3,seg,30,8192
FULL,False,8,8,1.6980,16,18,,,,,1773335063.5366654,402.161,62,2422,2422,12481,94708.25,97887.0,100,90,1600898432,1773335063530521,0,,0,0,26520309060,,8197,qwen3,seg,30,8192
FULL,False,8,8,1.6980,17,18,,,,,1773335063.6442578,401.793,62,2422,2422,12481,94708.25,97887.0,100,90,1600898432,1773335063638077,0,,0,0,26520349213,,8197,qwen3,seg,30,8192
