cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,sleep_freq,kernel,sleep_ns,sm_clock,avg_temperature_C
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0,cublas,0,2267,71.24652777777777
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,0,cublas,0,2422,58.98575498575498
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0,custom,0,2422,66.08095238095238
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,0,custom,0,2422,61.35262345679013
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,1,2422,70.14611872146118
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,1,2422,61.42781557067272
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,1,2422,69.86003297818367
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,1,2422,61.439909297052154
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,1,2422,69.95433789954338
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,1,2422,61.483749055177626
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,1,2422,70.01369863013697
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,1,2422,61.520786092214664
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,1,2422,69.84018264840182
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,1,2422,61.56991685563115
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,1,2422,70.1121258244546
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,1,2422,62.15797430083145
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,1,2422,70.23744292237443
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,1,2422,62.28949357520786
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,2,2422,70.94323947234905
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,2,2422,62.42781557067272
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,2,2422,71.18721461187214
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,2,2422,62.64021164021164
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,2,2422,71.09132420091323
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,2,2422,62.67120181405895
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,2,2422,71.23630136986301
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,2,2422,63.269841269841265
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,2,2422,70.82191780821917
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,2,2422,63.309901738473165
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,2,2422,71.15068493150686
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,2,2422,61.67422524565382
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,2,2422,70.53881278538812
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,2,2422,62.541194255479965
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,4,2422,71.41095890410959
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,4,2422,61.21466364323507
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,4,2422,70.66311516996448
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,4,2422,62.43310657596371
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,4,2422,69.85388127853882
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,4,2422,61.209372637944064
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,4,2422,70.55707762557078
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,4,2422,62.10959939531368
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,4,2422,69.19634703196347
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,4,2422,62.19879062736205
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,4,2422,70.61643835616438
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,4,2422,61.111866969009824
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,4,2422,70.48858447488584
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,4,2422,62.08994708994709
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,8,2422,69.21004566210046
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,8,2422,61.82237339380196
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,8,2422,70.52054794520548
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,8,2422,60.92214663643235
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,8,2422,70.52968036529681
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,8,2422,61.82464096749812
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,8,2422,69.08675799086757
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,8,2422,62.18972033257747
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,8,2422,68.95890410958906
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,8,2422,61.02040816326531
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,8,2422,70.89041095890411
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,8,2422,61.09750566893425
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,8,2422,69.94520547945206
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,8,2422,61.910052910052904
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,16,2422,68.99067732115678
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,16,2422,61.57706727135298
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,16,2422,69.57534246575342
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,16,2422,60.856386999244144
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,16,2422,69.37417554540842
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,16,2422,60.799697656840515
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,16,2422,70.91032470826993
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,16,2422,61.35298563869992
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,16,2422,69.80688736681888
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,16,2422,62.9030612244898
