cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,kv_cache_lens,iteration,sleep_ns,sleep_freq,kernel,sm_clock,delta_total_energy_mJ,decoding_tokens,during_time_iter,repeat_count,avg_power_saturated,energy_power_based_J,avg_gpu_util,avg_memory_util,avg_temperature
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0,0,0,0,cublas,2287,11818657,491520,19.692,120,600.07540625,11816.684899875001,100.0,26.0,65.73958333333333
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0,1,0,0,cublas,2264,11940459,491520,19.8778,120,599.8231546391753,11923.164703286599,100.0,26.0,72.28865979381443
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0,2,0,0,cublas,2250,12000679,491520,20.0126,120,599.9446804123711,12006.452911220616,100.0,26.0,75.71134020618557
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,256,0,0,0,cublas,2422,851262,3200,2.449,200,355.01969230769225,869.4432264615383,96.0,79.0,65.76923076923077
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,256,1,0,0,cublas,2422,846754,3200,2.4492,200,353.2816923076923,865.2575208,96.0,79.0,64.46153846153847
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,256,2,0,0,cublas,2422,878306,3200,2.4492,200,351.54184615384617,860.9962896,96.0,79.0,63.46153846153846
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,257,0,0,0,cublas,2422,875531,3200,2.4526,200,350.61884615384616,859.9277820769231,96.0,79.0,62.92307692307692
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,257,1,0,0,cublas,2422,838091,3200,2.4525,200,349.51269230769225,857.1798778846153,96.0,79.0,62.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,257,2,0,0,cublas,2422,870464,3200,2.4525,200,348.38015384615386,854.4023273076924,96.0,79.0,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,258,0,0,0,cublas,2422,869531,3200,2.447,200,348.0186923076923,851.6017400769231,96.0,79.0,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,258,1,0,0,cublas,2422,832770,3200,2.447,200,347.38376923076925,850.0480833076924,96.0,79.0,60.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,258,2,0,0,cublas,2422,865805,3200,2.4469,200,346.81199999999995,848.6142827999998,96.0,79.0,60.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,259,0,0,0,cublas,2422,864120,3200,2.4524,200,345.9129230769231,848.3168525538462,96.0,79.0,59.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,259,1,0,0,cublas,2422,828088,3200,2.4523,200,345.551,847.3947173,96.0,79.0,59.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,259,2,0,0,cublas,2422,827273,3200,2.4523,200,345.1736923076923,846.4694456461539,96.0,79.0,59.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,260,0,0,0,cublas,2422,861406,3200,2.4481,200,345.0676923076923,844.7602175384616,96.0,79.0,58.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,260,1,0,0,cublas,2422,859882,3200,2.4482,200,344.2016923076923,842.6745831076923,96.0,79.0,58.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,260,2,0,0,cublas,2422,825011,3200,2.448,200,344.4086153846153,843.1122904615382,96.0,79.0,58.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,261,0,0,0,cublas,2422,858090,3200,2.4548,200,343.4494615384616,843.0997381846156,96.0,79.0,58.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,261,1,0,0,cublas,2422,857326,3200,2.4549,200,343.2185384615385,842.5671900692308,96.0,79.0,57.07692307692308
