cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,sleep_freq,kernel,sleep_ns,sm_clock,latency_sec_per_token
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0,cublas,0,2267,4.0406901041666666e-05
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,0,cublas,0,2422,0.0007661782407407408
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0,custom,0,2422,0.00029203898111979164
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,0,custom,0,2422,0.00611263888888889
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,1,2422,0.0003021816677517361
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,1,2422,0.0062821504629629625
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,1,2422,0.00030203586154513886
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,1,2422,0.006261344907407407
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,1,2422,0.00030209486219618054
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,1,2422,0.006253418981481481
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,1,2422,0.0003021104600694445
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,1,2422,0.006246930555555556
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,1,2422,0.00030212266710069445
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,1,2422,0.0062402106481481475
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,1,2422,0.0003021735297309028
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,1,2422,0.006239699074074075
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,1,2422,0.0003021775987413195
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,1,2422,0.006238201388888889
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,2,2422,0.0003021579318576389
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,2,2422,0.006281550925925926
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,2,2422,0.0003020772298177083
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,2,2422,0.006260344907407406
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,2,2422,0.0003020880805121528
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,2,2422,0.006252087962962963
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,2,2422,0.00030213419596354164
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,2,2422,0.00624675
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,2,2422,0.0003021735297309028
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,2,2422,0.006240814814814814
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,2,2422,0.00030219590928819444
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,2,2422,0.006238928240740741
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,2,2422,0.00030216742621527775
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,2,2422,0.006237416666666666
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,4,2422,0.000302142333984375
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,4,2422,0.006281946759259259
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,4,2422,0.0003020501030815972
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,4,2422,0.006258981481481481
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,4,2422,0.0003020338270399305
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,4,2422,0.006251254629629629
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,4,2422,0.00030213690863715276
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,4,2422,0.0062453842592592596
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,4,2422,0.00030213758680555555
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,4,2422,0.0062397314814814815
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,4,2422,0.0003021877712673611
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,4,2422,0.006235534722222223
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,4,2422,0.00030217692057291664
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,4,2422,0.006236969907407407
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,8,2422,0.0003021335177951389
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,8,2422,0.006280990740740741
