cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,sleep_freq,kernel,sleep_ns,sm_clock,memory_util_pct
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0,cublas,0,2267,26.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,0,cublas,0,2422,79.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0,custom,0,2422,36.19047619047618
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,0,custom,0,2422,44.783179012345684
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,1,2422,29.415525114155248
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,1,2422,43.22696900982615
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,1,2422,29.40353881278539
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,1,2422,43.92819349962207
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,1,2422,29.365296803652967
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,1,2422,43.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,1,2422,29.365296803652967
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,1,2422,43.99848828420257
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,1,2422,29.40182648401826
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,1,2422,44.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,1,2422,29.35318366311517
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,1,2422,43.139833711262284
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,1,2422,29.488584474885844
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,1,2422,45.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,2,2422,30.394596651445966
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,2,2422,44.75830687830688
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,2,2422,29.42922374429224
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,2,2422,43.916099773242635
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,2,2422,29.397260273972606
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,2,2422,43.01133786848072
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,2,2422,30.330162354134956
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,2,2422,44.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,2,2422,29.39269406392694
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,2,2422,44.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,2,2422,29.269406392694066
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,2,2422,44.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,2,2422,28.34246575342466
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,2,2422,43.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,4,2422,29.410958904109588
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,4,2422,43.33209372637944
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,4,2422,29.44044901065449
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,4,2422,44.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,4,2422,29.392694063926943
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,4,2422,43.794406651549515
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,4,2422,29.397260273972602
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,4,2422,44.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,4,2422,29.41095890410959
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,4,2422,44.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,4,2422,28.415525114155248
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,4,2422,43.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,4,2422,29.388127853881276
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,4,2422,44.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,8,2422,29.315068493150687
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,8,2422,44.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,8,2422,29.36986301369863
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,8,2422,43.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,8,2422,29.4337899543379
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,8,2422,44.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,8,2422,29.365296803652967
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,8,2422,44.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,8,2422,28.552511415525114
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,8,2422,43.03628117913832
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,8,2422,29.378995433789953
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,8,2422,44.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,8,2422,30.360730593607304
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,8,2422,45.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,16,2422,29.422120750887874
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,16,2422,43.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,16,2422,29.39269406392694
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,16,2422,43.883597883597886
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,16,2422,29.435946220192793
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,16,2422,44.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,16,2422,30.354959411466258
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,16,2422,45.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,16,2422,29.412671232876715
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,16,2422,44.0
