cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,sleep_freq,kernel,sleep_ns,sm_clock,power_based_avg_power_W
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0,cublas,0,2267,599.9477471005155
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,0,cublas,0,2422,345.4599715099716
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0,custom,0,2422,519.6008666666667
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,0,custom,0,2422,409.5044953703704
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,1,2422,561.7580273972602
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,1,2422,405.5025944822374
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,1,2422,557.1594537037037
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,1,2422,406.0612622826909
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,1,2422,558.0648173515982
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,1,2422,407.1935139833711
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,1,2422,556.8041050228311
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,1,2422,407.24375207860925
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,1,2422,554.826703196347
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,1,2422,407.3286477702192
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,1,2422,556.6265934170473
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,1,2422,408.1080778533636
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,1,2422,556.4897488584475
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,1,2422,408.3473703703704
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,2,2422,562.1750966514459
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,2,2422,407.36344952380944
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,2,2422,561.2329086757991
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,2,2422,408.64303552532135
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,2,2422,560.1076575342466
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,2,2422,409.1140385487528
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,2,2422,559.763736745307
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,2,2422,409.38249962207107
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,2,2422,557.7746529680365
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,2,2422,410.06811035525317
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,2,2422,558.9362694063929
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,2,2422,407.3740778533636
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,2,2422,556.18900456621
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,2,2422,409.2361851851852
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,4,2422,562.8135799086757
