cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,sleep_freq,kernel,sleep_ns,sm_clock,power_based_j_per_token
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0,cublas,0,2267,0.02424201288138985
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,0,cublas,0,2422,0.26468190339627845
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0,custom,0,2422,0.15174407918126664
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,0,custom,0,2422,2.5031524846814714
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,1,2422,0.1697530989947129
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,1,2422,2.547427517276869
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,1,2422,0.16828228584873992
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,1,2422,2.5424885234314534
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,1,2422,0.16858874930102205
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,1,2422,2.5463505261943498
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,1,2422,0.16821640655974643
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,1,2422,2.544022384153722
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,1,2422,0.16762600128974625
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,1,2422,2.5418153998082005
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,1,2422,0.16819802265681977
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,1,2422,2.5464705800933958
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,1,2422,0.16815880323821697
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,1,2422,2.5473521853219485
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,2,2422,0.16986586620624605
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,2,2422,2.5588731578392463
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,2,2422,0.16953585410663485
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,2,2422,2.5582452756025607
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,2,2422,0.16920192014944233
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,2,2422,2.557815678502456
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,2,2422,0.1691237850848525
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,2,2422,2.5573094533773144
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,2,2422,0.16854486892120496
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,2,2422,2.5591582224165723
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,2,2422,0.16890827080007526
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,2,2422,2.5415764923888413
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,2,2422,0.16806234916975468
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,2,2422,2.5525757111547147
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,4,2422,0.17004982573177158
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,4,2422,2.5461413236000507
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,4,2422,0.16884883455255523
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,4,2422,2.5558679021448887
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,4,2422,0.16834621147273277
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,4,2422,2.5438835090529572
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,4,2422,0.1682750010829792
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,4,2422,2.547050836238048
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,4,2422,0.1677257869200545
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,4,2422,2.5482380696685087
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,4,2422,0.16855227503794026
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,4,2422,2.5371152516426214
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,4,2422,0.16866465251128548
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,4,2422,2.546555150636149
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,8,2422,0.16879849771624467
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,8,2422,2.55247223009399
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,8,2422,0.168981309382497
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,8,2422,2.5390458803647484
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,8,2422,0.1688456932985628
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,8,2422,2.5497724219481768
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,8,2422,0.16745303312633406
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,8,2422,2.5483364265647204
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,8,2422,0.16742846866403052
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,8,2422,2.537428144695578
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,8,2422,0.16897360970255532
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,8,2422,2.538489744409156
