cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,sleep_freq,kernel,sleep_ns,sm_clock,throughput_tokens_per_sec
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0,cublas,0,2267,24748.247804720857
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,0,cublas,0,2422,1305.179326201173
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0,custom,0,2422,3424.200413813283
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,0,custom,0,2422,163.59546477017108
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,1,2422,3309.2675920419224
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,1,2422,159.18116032011628
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,1,2422,3310.8651233805604
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,1,2422,159.7100965987295
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,1,2422,3310.218494714417
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,1,2422,159.91252192781948
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,1,2422,3310.0475891173564
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,1,2422,160.07861638715903
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,1,2422,3309.913849220423
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,1,2422,160.2510005486371
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,1,2422,3309.356715959001
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,1,2422,160.26413904397987
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,1,2422,3309.3121534004067
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,1,2422,160.30261571566768
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,2,2422,3309.5275502188306
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,2,2422,159.19635322427894
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,2,2422,3310.4117135987394
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,2,2422,159.73560798811155
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,2,2422,3310.292807000608
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,2,2422,159.94656599906253
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,2,2422,3309.7875492407666
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,2,2422,160.083243286509
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,2,2422,3309.356715959001
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,2,2422,160.23548681914758
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,2,2422,3309.111636737387
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,2,2422,160.28394003154477
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,2,2422,3309.4235620472036
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,2,2422,160.32278320351642
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,4,2422,3309.6984021170433
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,4,2422,159.1863220626715
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,4,2422,3310.709017470044
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,4,2422,159.7704040120124
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,4,2422,3310.887425426671
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,4,2422,159.96788792768268
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,4,2422,3309.757832999266
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,4,2422,160.11825029299416
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,4,2422,3309.750404022266
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,4,2422,160.2633066771926
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,4,2422,3309.2007522542945
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,4,2422,160.37117016383473
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,4,2422,3309.3195804101642
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,4,2422,160.33426725569717
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,8,2422,3309.7949783845174
