cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,sleep_freq,kernel,sleep_ns,sm_clock,total_energy_based_avg_power_W
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0,cublas,0,2267,600.173792932141
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,0,cublas,0,2422,345.1174057143893
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0,custom,0,2422,516.8114548718271
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,0,custom,0,2422,409.46056288958056
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,1,2422,560.4340810395322
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,1,2422,405.26123949800456
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,1,2422,555.3158272896693
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,1,2422,405.9377330260886
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,1,2422,556.8724478456957
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,1,2422,407.22164949026035
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,1,2422,556.266454161803
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,1,2422,407.25601165609476
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,1,2422,554.0298048476088
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,1,2422,407.4309984045381
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,1,2422,555.3330879564068
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,1,2422,407.863148522565
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,1,2422,555.5274148916353
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,1,2422,408.32131249250904
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,2,2422,560.3060038155089
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,2,2422,407.62671034739446
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,2,2422,559.1141164400323
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,2,2422,409.00617089713364
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,2,2422,559.0868498384767
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,2,2422,408.95132811186784
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,2,2422,557.7254637890981
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,2,2422,409.4693018147214
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,2,2422,556.8053495162409
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,2,2422,409.8521679267903
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,2,2422,556.6045564916092
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,2,2422,407.63309225194115
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,2,2422,554.9932445170616
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,2,2422,409.1333959779764
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,4,2422,560.1912117559654
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,4,2422,405.2319090456523
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,4,2422,558.3343399395138
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,4,2422,408.32126425728956
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,4,2422,555.6657992172748
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,4,2422,406.0674227618012
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,4,2422,555.7842650930712
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,4,2422,407.6816137547507
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,4,2422,553.0384943436883
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,4,2422,408.4089600543708
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,4,2422,556.4562808296342
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,4,2422,406.89396681430463
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,4,2422,555.7895811732177
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,4,2422,408.26729874987524
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,8,2422,558.085357586967
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,8,2422,406.5848894444878
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,8,2422,557.3181009941358
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,8,2422,405.74562664018333
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,8,2422,556.6859257962349
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,8,2422,407.5877555630024
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,8,2422,552.2122149537325
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,8,2422,408.16446597234017
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,8,2422,552.7334590178652
