cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,sleep_freq,kernel,sleep_ns,sm_clock,total_energy_based_j_per_token
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0,cublas,0,2267,0.02425116305881076
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,0,cublas,0,2422,0.26442144675925927
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0,custom,0,2422,0.15092909071180557
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,0,custom,0,2422,2.5028845601851852
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,1,2422,0.1693529052734375
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,1,2422,2.5459120833333335
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,1,2422,0.1677252943250868
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,1,2422,2.5417161574074076
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,1,2422,0.16822830539279515
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,1,2422,2.5465275925925925
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,1,2422,0.16805391438802084
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,1,2422,2.544100023148148
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,1,2422,0.16738496229383681
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,1,2422,2.5424552546296297
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,1,2422,0.1678069593641493
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,1,2422,2.5449433101851855
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,1,2422,0.16786794026692708
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,1,2422,2.5471905787037037
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,2,2422,0.1693009033203125
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,2,2422,2.560527939814815
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,2,2422,0.16889564344618055
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,2,2422,2.560519699074074
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,2,2422,0.16889347330729165
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,2,2422,2.5567996759259257
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,2,2422,0.16850793457031252
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,2,2422,2.557852361111111
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,2,2422,0.16825183783637152
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,2,2422,2.5578114814814814
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,2,2422,0.16820362006293404
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,2,2422,2.543193611111111
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,2,2422,0.1677008802625868
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,2,2422,2.551935462962963
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,4,2422,0.16925748019748263
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,4,2422,2.545645277777778
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,4,2422,0.1686449449327257
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,4,2422,2.5556752314814815
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,4,2422,0.16782986789279514
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,4,2422,2.5384308564814817
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,4,2422,0.16792293972439234
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,4,2422,2.5461283333333333
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,4,2422,0.16709371609157986
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,4,2422,2.5483622453703703
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,4,2422,0.16815428331163196
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,4,2422,2.5372014583333335
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,4,2422,0.167946784125434
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,4,2422,2.5463508564814816
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,8,2422,0.16861629231770833
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,8,2422,2.553755925925926
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,8,2422,0.1683459269205729
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,8,2422,2.5392772916666666
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,8,2422,0.16818932427300348
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,8,2422,2.5480414583333335
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,8,2422,0.16681934950086805
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,8,2422,2.5486488425925926
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,8,2422,0.1670165473090278
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,8,2422,2.538019837962963
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,8,2422,0.16858814154730903
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,8,2422,2.540955578703704
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,8,2422,0.1678912150065104
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,8,2422,2.5428408333333334
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,16,2422,0.16823855929904513
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,16,2422,2.5545208333333336
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,16,2422,0.16841767713758682
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,16,2422,2.5423716203703703
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,16,2422,0.16839818657769098
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,16,2422,2.539132847222222
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,16,2422,0.16859357367621527
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,16,2422,2.5435725
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,16,2422,0.16754545084635417
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,16,2422,2.558623984375
