cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,sleep_freq,kernel,sleep_ns,sm_clock,avg_temperature_C
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0,cublas,0,2249,75.38650662154896
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,0,cublas,0,2422,62.1025641025641
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0,custom,0,2422,68.2394366197183
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,0,custom,0,2422,64.14814814814815
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,1,2422,71.2339593114241
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,1,2422,62.590413943355124
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,1,2422,71.01408450704226
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,1,2422,62.69010893246187
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,1,2422,70.69014084507042
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,1,2422,62.66867102396514
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,1,2422,70.71361502347418
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,1,2422,63.288148148148146
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,1,2422,71.037558685446
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,1,2422,63.30185911401597
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,1,2422,70.87323943661973
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,1,2422,63.294074074074075
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,1,2422,70.962441314554
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,1,2422,63.28666666666667
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,2,2422,71.58685446009389
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,2,2422,62.615831517792294
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,2,2422,71.08450704225352
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,2,2422,63.22411038489469
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,2,2422,71.01408450704226
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,2,2422,63.289992737835874
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,2,2422,70.9718309859155
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,2,2422,63.02814814814815
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,2,2422,70.6192618675013
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,2,2422,63.05111111111111
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,2,2422,70.58215962441317
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,2,2422,62.59703703703703
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,2,2422,70.3849765258216
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,2,2422,62.47703703703704
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,4,2422,70.96446270213876
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,4,2422,62.339869281045765
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,4,2422,70.32440010432968
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,4,2422,62.31880900508351
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,4,2422,70.37089201877933
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,4,2422,62.367944807552654
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,4,2422,69.98122065727699
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,4,2422,62.33031227305737
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,4,2422,70.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,4,2422,62.13185185185185
