cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,sleep_freq,kernel,sleep_ns,sm_clock,gpu_util_pct
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0,cublas,0,2249,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,0,cublas,0,2422,96.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0,custom,0,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,0,custom,0,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,1,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,1,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,1,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,1,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,1,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,1,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,1,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,1,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,1,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,1,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,1,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,1,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,1,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,1,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,2,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,2,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,2,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,2,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,2,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,2,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,2,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,2,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,2,2422,100.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,2,2422,99.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,2,2422,100.0
