cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,kv_cache_lens,iteration,sleep_ns,sleep_freq,kernel,sm_clock,delta_total_energy_mJ,decoding_tokens,during_time_iter,repeat_count,avg_power_saturated,energy_power_based_J,avg_gpu_util,avg_memory_util,avg_temperature
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0,0,0,0,cublas,2269,11881180,491520,19.8089,120,600.0773229166667,11886.87168192396,100.0,26.385416666666668,70.69791666666667
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0,1,0,0,cublas,2248,12000415,491520,20.0143,120,600.1529690721649,12011.641568901028,100.0,26.0,76.23711340206185
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0,2,0,0,cublas,2230,12059301,491520,20.1736,120,600.1236020408164,12106.653498130614,100.0,26.0,79.22448979591837
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,256,0,0,0,cublas,2422,866162,3200,2.4486,200,361.6395384615384,885.5105738769229,96.0,79.0,69.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,256,1,0,0,cublas,2422,861280,3200,2.4487,200,359.11953846153847,879.3760138307692,96.0,79.0,68.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,256,2,0,0,cublas,2422,892538,3200,2.4486,200,357.5170769230769,875.4163145538461,96.0,79.0,67.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,257,0,0,0,cublas,2422,853361,3200,2.4522,200,355.87223076923084,872.6698842923079,96.0,79.0,66.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,257,1,0,0,cublas,2422,850701,3200,2.4519,200,354.68638461538467,869.6555464384618,96.0,79.0,65.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,257,2,0,0,cublas,2422,883745,3200,2.4522,200,353.78984615384616,867.5634607384616,96.0,79.0,64.84615384615384
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,258,0,0,0,cublas,2422,881914,3200,2.4469,200,353.1760769230769,864.1865426230768,96.0,79.0,64.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,258,1,0,0,cublas,2422,844941,3200,2.4468,200,352.2698461538461,861.9338595692307,96.0,79.0,63.46153846153846
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,258,2,0,0,cublas,2422,877974,3200,2.4469,200,351.4406666666667,859.9401672666667,96.0,79.0,63.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,259,0,0,0,cublas,2422,874006,3200,2.4596,200,350.73592307692314,862.6700764000002,96.0,79.0,63.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,259,1,0,0,cublas,2422,874326,3200,2.452,200,349.78646153846154,857.6764036923076,96.0,79.0,62.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,259,2,0,0,cublas,2422,837434,3200,2.4521,200,349.44223076923083,856.867294069231,96.0,79.0,62.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,260,0,0,0,cublas,2422,837220,3200,2.448,200,349.24292307692303,854.9466756923076,96.0,79.0,61.38461538461539
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,260,1,0,0,cublas,2422,870908,3200,2.4479,200,348.5332307692307,853.1744956,96.0,79.0,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,260,2,0,0,cublas,2422,834781,3200,2.4478,200,348.39823076923074,852.809189276923,96.0,79.0,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,261,0,0,0,cublas,2422,833886,3200,2.4542,200,347.7562307692308,853.4633415538462,96.0,79.0,61.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,261,1,0,0,cublas,2422,866978,3200,2.4543,200,347.2838461538461,852.3387436153845,96.0,79.0,60.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,261,2,0,0,cublas,2422,866352,3200,2.4542,200,347.06338461538456,851.7629585230768,96.0,79.0,60.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,262,0,0,0,cublas,2422,831370,3200,2.4505,200,346.7553076923077,849.7238815000001,96.0,79.0,60.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,262,1,0,0,cublas,2422,830961,3200,2.4508,200,346.63300000000004,849.5281564000002,96.0,79.0,60.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,262,2,0,0,cublas,2422,864535,3200,2.4504,200,346.16246153846157,848.2364957538463,96.0,79.0,60.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,263,0,0,0,cublas,2422,863556,3200,2.4567,200,345.76,849.428592,96.0,79.0,60.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,263,1,0,0,cublas,2422,829090,3200,2.4568,200,345.3188461538461,848.379341230769,96.0,79.0,59.07692307692308
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,263,2,0,0,cublas,2422,827656,3200,2.4569,200,345.06576923076926,847.7920884230771,96.0,79.0,59.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,264,0,0,0,cublas,2422,862492,3200,2.4527,200,345.5861538461538,847.6191595384615,96.0,79.0,59.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,264,1,0,0,cublas,2422,862043,3200,2.4525,200,345.34499999999997,846.9586125,96.0,79.0,59.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,264,2,0,0,cublas,2422,827319,3200,2.4527,200,345.0068333333333,846.1982601166666,96.0,79.0,59.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0,0,0,0,custom,2422,7310423,49152,14.5612,12,500.2312394366198,7283.967123684508,100.0,29.971830985915492,65.32394366197182
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0,1,0,0,custom,2422,7421804,49152,14.5644,12,508.55738028169003,7406.833109374646,100.0,29.943661971830984,68.69014084507042
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0,2,0,0,custom,2422,7481868,49152,14.5628,12,512.1727323943661,7458.669067312674,100.0,30.0,70.70422535211267
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,256,0,0,0,custom,2422,4107787,1600,9.8408,100,415.2536458333334,4086.428077916667,99.0,44.0,65.97916666666667
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,256,1,0,0,custom,2422,4091699,1600,9.8409,100,413.65616666666665,4070.7489705499997,99.0,44.0,65.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,256,2,0,0,custom,2422,4046963,1600,9.8411,100,413.01560416666666,4064.5278621645834,99.0,44.0,65.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,257,0,0,0,custom,2422,4044026,1600,9.8421,100,412.9823333333334,4064.6134229000004,99.0,44.0,64.02083333333333
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,257,1,0,0,custom,2422,4083816,1600,9.8421,100,412.6982083333333,4061.8170362375,99.0,44.0,64.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,257,2,0,0,custom,2422,4039734,1600,9.8422,100,412.29875,4057.92675725,99.0,44.0,64.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,258,0,0,0,custom,2422,4037312,1600,9.8407,100,412.0244375,4054.60888210625,99.0,44.0,64.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,258,1,0,0,custom,2422,4079096,1600,9.8405,100,412.2379166666667,4056.6272189583337,99.0,44.0,64.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,258,2,0,0,custom,2422,4078002,1600,9.8406,100,412.430875,4058.567268525,99.0,44.0,64.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,259,0,0,0,custom,2422,4036788,1600,9.8424,100,411.8827708333333,4053.9149836499996,99.0,44.0,64.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,259,1,0,0,custom,2422,4035863,1600,9.8425,100,411.84468749999996,4053.5813367187493,99.0,44.0,64.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,259,2,0,0,custom,2422,4075795,1600,9.8424,100,411.8374375,4053.46879485,99.0,44.0,64.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,260,0,0,0,custom,2422,4077548,1600,9.8413,100,412.26783333333333,4057.2514281833332,99.0,44.0,64.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,260,1,0,0,custom,2422,4036134,1600,9.8415,100,412.41322916666667,4058.7647948437498,99.0,44.0,64.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,260,2,0,0,custom,2422,4033657,1600,9.8413,100,412.47077083333335,4059.2485970020834,99.0,44.0,64.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,261,0,0,0,custom,2422,4075137,1600,9.8444,100,411.93125000000003,4055.2159975000004,99.0,44.0,64.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,261,1,0,0,custom,2422,4073095,1600,9.8445,100,411.8323125,4054.28320040625,99.0,44.0,64.0
