cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,sleep_freq,kernel,sleep_ns,sm_clock,latency_sec_per_token
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0,cublas,0,2249,4.0687934027777775e-05
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,0,cublas,0,2422,0.0007661215277777779
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0,custom,0,2422,0.00029628092447916667
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,0,custom,0,2422,0.006151935185185185
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,1,2422,0.000296868896484375
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,1,2422,0.0065232754629629625
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,1,2422,0.0002964701334635417
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,1,2422,0.00645899537037037
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,1,2422,0.0002962944878472222
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,1,2422,0.006430546296296298
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,1,2422,0.0002962158203125
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,1,2422,0.006413833333333334
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,1,2422,0.00029619411892361114
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,1,2422,0.006409898148148148
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,1,2422,0.00029618598090277776
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,1,2422,0.006407631944444445
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,1,2422,0.00029617173936631944
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,1,2422,0.006406562499999999
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,2,2422,0.00029688042534722225
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,2,2422,0.006523446759259258
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,2,2422,0.0002964667426215278
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,2,2422,0.00645804398148148
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,2,2422,0.000296307373046875
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,2,2422,0.006432613425925927
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,2,2422,0.00029620022243923613
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,2,2422,0.006414393518518519
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,2,2422,0.0002961981879340278
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,2,2422,0.006410287037037038
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,2,2422,0.00029617919921875
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,2,2422,0.006406881944444443
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,2,2422,0.00029615003797743057
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,2,2422,0.006407030092592594
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,4,2422,0.0002968987358940972
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,4,2422,0.006523493055555556
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,4,2422,0.0002964613172743056
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,4,2422,0.006457548611111111
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,4,2422,0.0002963060167100694
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,4,2422,0.006432305555555556
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,4,2422,0.000296197509765625
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,4,2422,0.006414699074074074
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,4,2422,0.00029619140624999996
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,4,2422,0.006410143518518519
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,4,2422,0.0002961398654513889
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,4,2422,0.006408201388888889
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,4,2422,0.000296160888671875
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,4,2422,0.006407951388888889
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,8,2422,0.0002968661838107639
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,8,2422,0.006524094907407407
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,8,2422,0.00029647962782118056
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,8,2422,0.006458712962962962
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,8,2422,0.0002963046603732639
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,8,2422,0.006433118055555556
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,8,2422,0.00029621107313368054
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,8,2422,0.006414886574074075
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,8,2422,0.0002961588541666667
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,8,2422,0.006410949074074073
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,8,2422,0.00029615817599826385
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,8,2422,0.00640756712962963
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,8,2422,0.00029615003797743057
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,8,2422,0.0064075925925925915
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,16,2422,0.00029687296549479165
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,16,2422,0.006522629629629628
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,16,2422,0.00029647623697916665
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,16,2422,0.00646000462962963
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,16,2422,0.00029628770616319444
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,16,2422,0.006432694444444443
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,16,2422,0.00029617173936631944
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,16,2422,0.006415384259259259
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,16,2422,0.00029620564778645833
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,16,2422,0.006410759259259259
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,16,2422,0.0002961351182725694
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,16,2422,0.006406476851851852
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,16,2422,0.00029614664713541666
