cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,sleep_freq,kernel,sleep_ns,sm_clock,memory_util_pct
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0,cublas,0,2249,26.128472222222225
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,0,cublas,0,2422,79.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0,custom,0,2422,29.971830985915492
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,0,custom,0,2422,44.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,1,2422,29.972091810119977
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,1,2422,42.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,1,2422,29.934272300469484
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,1,2422,42.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,1,2422,28.990610328638496
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,1,2422,41.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,1,2422,29.981220657276992
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,1,2422,43.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,1,2422,30.192488262910796
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,1,2422,43.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,1,2422,30.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,1,2422,43.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,1,2422,29.96244131455399
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,1,2422,43.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,2,2422,30.408450704225356
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,2,2422,42.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,2,2422,29.920187793427232
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,2,2422,42.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,2,2422,30.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,2,2422,42.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,2,2422,30.971830985915492
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,2,2422,43.02518518518518
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,2,2422,29.112284820031295
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,2,2422,42.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,2,2422,29.39906103286385
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,2,2422,42.92461873638345
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,2,2422,30.91549295774648
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,2,2422,43.9925925925926
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,4,2422,29.9113197704747
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,4,2422,42.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,4,2422,30.96244131455399
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,4,2422,43.027044299201165
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,4,2422,29.981220657276992
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,4,2422,42.97420479302832
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,4,2422,29.32394366197183
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,4,2422,42.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,4,2422,29.990610328638496
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,4,2422,43.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,4,2422,30.0
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,4,2422,43.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,4,2422,29.96713615023474
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,4,2422,43.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,8,2422,28.95357329160146
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,8,2422,42.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,8,2422,29.920579029733958
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,8,2422,41.962236746550474
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,8,2422,29.96713615023474
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,8,2422,42.904938271604934
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,8,2422,29.990610328638496
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,8,2422,43.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,8,2422,29.94835680751174
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,8,2422,43.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,8,2422,29.990610328638496
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,8,2422,43.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,8,2422,29.943661971830988
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,8,2422,43.0
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,16,2422,29.915884194053206
