cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,sleep_freq,kernel,sleep_ns,sm_clock,power_based_avg_power_W
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0,cublas,0,2249,600.1179646765494
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,0,cublas,0,2422,349.9772977207977
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0,custom,0,2422,506.9871173708919
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,0,custom,0,2422,412.1960519337365
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,1,2422,555.5610602503913
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,1,2422,397.44885330428457
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,1,2422,549.6497042253521
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,1,2422,399.54786347131443
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,1,2422,545.45020657277
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,1,2422,401.0318728395062
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,1,2422,549.890192488263
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,1,2422,402.14773703703696
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,1,2422,545.452441314554
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,1,2422,401.7818692084241
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,1,2422,544.7979577464788
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,1,2422,402.0054311111111
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,1,2422,545.1415962441314
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,1,2422,402.04418444444445
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,2,2422,553.8705868544599
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,2,2422,397.07307116920845
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,2,2422,550.128690140845
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,2,2422,400.0436532607117
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,2,2422,545.1671830985915
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,2,2422,401.2391318082789
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,2,2422,547.2748967136149
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,2,2422,401.375955090777
