cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,sleep_freq,kernel,sleep_ns,sm_clock,power_based_j_per_token
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0,cublas,0,2249,0.024417566425886772
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,0,cublas,0,2422,0.26812298760504216
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0,custom,0,2422,0.15021070217808585
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,0,custom,0,2422,2.5358027722058876
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,1,2422,0.1649288864351992
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,1,2422,2.592667557799519
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,1,2422,0.16295479952051586
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,1,2422,2.5806767115129667
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,1,2422,0.16161410600552506
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,1,2422,2.5788526115015222
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,1,2422,0.16288625596750947
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,1,2422,2.579307641077222
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,1,2422,0.16155989115798305
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,1,2422,2.575379885071778
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,1,2422,0.1613615485322621
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,1,2422,2.575901982370416
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,1,2422,0.16145556309219383
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,1,2422,2.575720293081574
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,2,2422,0.16443345357770126
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,2,2422,2.590284370176153
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,2,2422,0.16309494966370486
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,2,2422,2.583498409942936
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,2,2422,0.1615370577305849
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,2,2422,2.581015086807231
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,2,2422,0.1621030320920177
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,2,2422,2.574582207261341
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,2,2422,0.16123806678926356
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,2,2422,2.572243976155395
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,2,2422,0.1614983407776739
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,2,2422,2.570800202896364
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,2,2422,0.16149385029462118
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,2,2422,2.569515327863889
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,4,2422,0.16405275650292814
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,4,2422,2.584418664323257
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,4,2422,0.1626672598944425
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,4,2422,2.5745162679242366
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,4,2422,0.16109816081944142
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,4,2422,2.569308027737568
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,4,2422,0.16046140213765364
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,4,2422,2.5646808644357457
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,4,2422,0.16105574517983687
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,4,2422,2.5656433161956023
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,4,2422,0.16091994520530165
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,4,2422,2.5616579094410086
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,4,2422,0.16089143033121553
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,4,2422,2.556399607882024
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,8,2422,0.16363499987654798
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,8,2422,2.572036971261211
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,8,2422,0.16178514696354213
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,8,2422,2.5638844149413234
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,8,2422,0.16181545212319245
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,8,2422,2.561264224244938
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,8,2422,0.16097808212886805
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,8,2422,2.557225818961713
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,8,2422,0.16036982973132308
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,8,2422,2.55711996753574
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,8,2422,0.16068494862885807
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,8,2422,2.5556502088695368
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,8,2422,0.16071610045333168
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,8,2422,2.556705860392963
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,16,2422,0.16333074841424913
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,16,2422,2.571196119171705
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,16,2422,0.16154335190353486
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,16,2422,2.56153967999596
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,16,2422,0.1615834658553289
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,16,2422,2.558386658542772
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,16,2422,0.16056903550385432
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,16,2422,2.5543216524656174
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,16,2422,0.15997111478160686
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,16,2422,2.5548422748516666
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,16,2422,0.16040826730199584
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,16,2422,2.551662344834352
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,16,2422,0.16021769379080472
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,16,2422,2.5515960101631014
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,32,2422,0.1623735150554778
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,32,2422,2.568720737832888
