cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,sleep_freq,kernel,sleep_ns,sm_clock,throughput_tokens_per_sec
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0,cublas,0,2249,24577.310789908795
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,0,cublas,0,2422,1305.2759434924287
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0,custom,0,2422,3375.175103688851
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,0,custom,0,2422,162.55047719100736
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,1,2422,3368.4903061329387
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,1,2422,153.2972209555882
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,1,2422,3373.021047069399
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,1,2422,154.82283894912564
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,1,2422,3375.020599490964
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,1,2422,155.50778330854325
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,1,2422,3375.9169207945274
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,1,2422,155.9130005456955
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,1,2422,3376.164265631153
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,1,2422,156.0087191539705
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,1,2422,3376.2570292894698
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,1,2422,156.0638951597433
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,1,2422,3376.419377958111
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,1,2422,156.08994683186188
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,2,2422,3368.3594963542328
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,2,2422,153.29319559182707
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,2,2422,3373.0596260390976
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,2,2422,154.8456472064161
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,2,2422,3374.873833604548
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,2,2422,155.45781065742457
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,2,2422,3376.0946962325274
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,2,2422,155.89938426960776
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,2,2422,3376.1178857135005
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,2,2422,155.99925467022766
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,2,2422,3376.334336232123
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,2,2422,156.08216425263203
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,2,2422,3376.666796430428
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,2,2422,156.07855520393719
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,4,2422,3368.1517605271874
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,4,2422,153.29210769196376
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,4,2422,3373.1213542262376
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,4,2422,154.85752569935917
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,4,2422,3374.889282044123
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,4,2422,155.46525135708208
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,4,2422,3376.125615611284
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,4,2422,155.89195821229453
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,4,2422,3376.1951862842075
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,4,2422,156.00274738171777
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,4,2422,3376.7827863221246
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,4,2422,156.05002703783455
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,4,2422,3376.543082661831
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,4,2422,156.05611517808276
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,8,2422,3368.521086380946
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,8,2422,153.2779663987732
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,8,2422,3372.9130306489133
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,8,2422,154.82960858214787
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,8,2422,3374.9047306251273
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,8,2422,155.44561616375333
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,8,2422,3375.9710243806394
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,8,2422,155.88740166373714
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,8,2422,3376.5662783029234
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,8,2422,155.98314515459305
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,8,2422,3376.574010254109
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,8,2422,156.06547380141174
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,8,2422,3376.666796430428
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,8,2422,156.06485361694752
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,16,2422,3368.444136815631
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,16,2422,153.31239956618273
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,16,2422,3372.951607147759
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,16,2422,154.79865067176164
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,16,2422,3375.097849821696
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,16,2422,155.45585269694317
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,16,2422,3376.419377958111
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,16,2422,155.87530841300895
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,16,2422,3376.0328591739876
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,16,2422,155.98776362654218
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,16,2422,3376.836917665326
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,16,2422,156.09203359736495
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,16,2422,3376.70545884228
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,16,2422,156.07720185370582
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,32,2422,3372.735590118939
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,32,2422,151.50590557394435
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,32,2422,3377.0843973369183
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,32,2422,154.03919655722396
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,32,2422,3376.2415683257545
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,32,2422,154.96023404734612
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,32,2422,3376.7131914308943
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,32,2422,155.50946267880886
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,32,2422,3376.9065176567583
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,32,2422,155.90264745792072
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,32,2422,3376.349798045483
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,32,2422,156.0441084679936
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,32,2422,3376.7518549051933
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,32,2422,156.0874089490115
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,64,2422,3366.5292256270463
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,64,2422,149.60738450967912
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,64,2422,3391.321146999567
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,64,2422,152.05174827833073
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,64,2422,3387.729314325756
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,64,2422,154.07825891567424
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,64,2422,3384.0829496894894
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,64,2422,155.08412057072394
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,64,2422,3380.1267180752056
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,64,2422,155.60530282700978
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,64,2422,3377.362855330153
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,64,2422,155.9618023552398
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,64,2422,3376.651331713583
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,64,2422,156.02832780973787
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,128,2422,3362.7289333433678
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,128,2422,141.24307639190636
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,128,2422,3362.1845443849584
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,128,2422,150.22700970355203
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,128,2422,3372.388477855665
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,128,2422,152.24374505516195
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,128,2422,3394.2954217433235
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,128,2422,154.3654330057594
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,128,2422,3393.092593487461
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,128,2422,155.3550564294877
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,128,2422,3387.79936405242
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,128,2422,155.744427720345
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,128,2422,3379.421774553955
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,128,2422,156.0039867685508
