cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,sleep_freq,kernel,sleep_ns,sm_clock,total_energy_based_avg_power_W
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0,cublas,0,2249,599.0468825004
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,0,cublas,0,2422,349.09376987562104
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0,custom,0,2422,508.46666391994216
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,0,custom,0,2422,412.32290652293995
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,1,2422,553.5387926012733
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,1,2422,397.5227701375594
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,1,2422,548.4469637183385
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,1,2422,399.3083289669948
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,1,2422,546.4015435885229
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,1,2422,400.31628195288965
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,1,2422,543.7034900226196
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,1,2422,402.86355519175856
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,1,2422,542.9795812765021
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,1,2422,400.6514194626655
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,1,2422,545.9736596266921
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,1,2422,401.67564575952355
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,1,2422,546.5617107411334
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,1,2422,402.3874029631798
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,2,2422,553.2968832806417
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,2,2422,397.1513795145645
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,2,2422,549.7815206401347
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,2,2422,400.07128276356474
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,2,2422,547.2846702965968
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,2,2422,400.9461838885972
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,2,2422,546.6318042883472
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,2,2422,400.917337960273
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,2,2422,545.3163507814324
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,2,2422,401.99348269780484
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,2,2422,545.5332765481965
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,2,2422,401.2774710931858
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,2,2422,543.9099958551928
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,2,2422,401.02206885737843
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,4,2422,551.1485741043182
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,4,2422,396.0531682320558
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,4,2422,544.9555301383964
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,4,2422,398.4050606865852
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,4,2422,541.6475518457571
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,4,2422,399.375166441386
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,4,2422,543.4347618033662
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,4,2422,399.35409487036065
