cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,sleep_freq,kernel,sleep_ns,sm_clock,total_energy_based_j_per_token
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0,cublas,0,2249,0.02437398003472222
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,0,cublas,0,2422,0.2674482523148148
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,0,custom,0,2422,0.1506489732530382
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,0,custom,0,2422,2.5365837962962963
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,1,2422,0.16432845052083334
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,1,2422,2.5931505324074076
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,1,2422,0.16259814453125
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,1,2422,2.579130648148148
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,1,2422,0.16189576551649307
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,1,2422,2.574252384259259
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,1,2422,0.16105357530381945
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,1,2422,2.5838996990740744
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,1,2422,0.16082735866970485
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,1,2422,2.5681347916666666
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,1,2422,0.16170974392361112
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,1,2422,2.573789699074074
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,1,2422,0.16187613254123265
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,1,2422,2.5779200462962963
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,2,2422,0.1642630140516493
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,2,2422,2.5907958796296295
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,2,2422,0.16299193657769095
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,2,2422,2.583677939814815
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,2,2422,0.16216448296440972
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,2,2422,2.579131805555556
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,2,2422,0.16191246202256945
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,2,2422,2.571641574074074
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,2,2422,0.16152171495225695
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,2,2422,2.576893611111111
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,2,2422,0.16157560899522572
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,2,2422,2.5709373842592593
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,2,2422,0.16107896592881946
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,2,2422,2.569360462962963
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,4,2422,0.16363531494140623
