sm_clock,kv_group,graph_mode,avg_power_mean,avg_temperature_mean,during_time_mean,repeat_count,energy_per_token_mean,experiment_count
1320,128,mani,218.76118423057073,62.473199442639455,2.1373068062827225,100,4.676037156440948,191
1320,128,seg,220.30752352290287,61.829928068564435,2.13949797979798,100,4.714279390736159,198
1320,1024,mani,217.23453136610698,61.410182768620274,2.30330125,100,5.0066872231340405,240
1320,1024,seg,218.20309142531963,60.5746243169399,2.3071852459016395,100,5.037904575310841,244
1320,4096,all,222.18245696051832,62.152955511307916,2.5475177033492824,90,6.30247765743306,209
1320,4096,mani,219.8156857551006,61.82551197297023,2.591004566210046,90,6.337993902162882,219
1320,4096,seg,222.39958934115913,62.21428571428571,2.592837387387387,90,6.420054292284556,222
1320,8192,all,225.19001390674433,63.307352147545515,2.1571259668508285,60,8.123196027171291,181
1320,8192,mani,220.78133244408005,61.20732985704084,2.208213294797688,60,8.151334844577258,173
1320,8192,seg,222.6856701153983,61.879192947092356,2.20858224852071,60,8.22302776792374,169
1620,128,mani,223.77197592708987,62.84498698544298,2.1059731707317075,100,4.713233803008568,205
1620,128,seg,226.2191540763022,63.118788216614305,2.1083608695652174,100,4.770237782791772,207
1620,1024,mani,221.86970474839586,61.525642746845286,2.2700734177215187,100,5.04025230991599,237
1620,1024,seg,224.44542219769343,62.34216105710007,2.271940243902439,100,5.102932103687617,246
1620,4096,all,234.08323851161154,65.4899470899471,2.860196825396825,90,7.439456985429852,63
1620,4096,mani,224.60001011192028,61.77704867430894,2.5384616438356162,90,6.348143900353374,219
1620,4096,seg,225.70678370704866,61.76548239602557,2.5505115207373272,90,6.410180840946604,217
1620,8192,all,229.5578350731453,63.75046526054591,2.124365053763441,60,8.15526076592899,186
1620,8192,mani,225.77060590360966,62.01331186621503,2.1442983425414366,60,8.094836453191515,181
1620,8192,seg,227.49040771490826,62.07388336213473,2.157772131147541,60,8.20850493259652,183
1920,128,mani,228.09848862454356,62.84232891033634,2.0820819004524886,100,4.749823974106125,221
1920,128,seg,230.49939106211968,62.66130952380952,2.084767727272727,100,4.806171936236133,220
1920,1024,mani,227.9694914606342,63.08901577455569,2.2443516393442624,100,5.119300812781822,244
1920,1024,seg,229.85278976710856,63.03535749858362,2.2490565573770493,100,5.173260067459856,244
1920,4096,mani,229.97373819811796,62.40228799857013,2.5207935185185186,90,6.454273085076776,216
1920,4096,seg,230.7643022411191,62.210971350078495,2.523867619047619,90,6.485455129413858,210
1920,8192,all,234.5525452038819,64.55685891169762,2.109151075268817,60,8.273241971147197,186
1920,8192,mani,230.45596529736167,62.59916730757138,2.134493567251462,60,8.220297294825256,171
1920,8192,seg,232.772814141191,63.07358284883721,2.12563488372093,60,8.274428595254772,172
2220,128,mani,252.0269122593533,65.53369905956113,2.0654004310344827,100,5.206028650491952,232
2220,128,seg,255.75690601140727,64.95715892549954,2.0673427947598255,100,5.288369513889992,229
2220,1024,mani,249.87722326748025,64.19935331200513,2.2277453441295543,100,5.570801505288082,247
2220,1024,seg,252.779837634389,64.78210458240946,2.2309829268292685,100,5.643883629839102,246
2220,4096,mani,251.67445060998182,64.21348834498835,2.493375,90,6.989595729136686,220
2220,4096,seg,254.41131649618532,63.734476610765896,2.4977451327433626,90,7.07894831552524,226
2220,8192,all,259.1774559677891,67.16621842814332,2.1008918032786887,60,9.10530458583962,183
2220,8192,mani,254.96633712998351,65.24854361080308,2.1047044198895026,60,8.972167346813393,181
2220,8192,seg,256.19462758555585,64.3972238695066,2.1244234636871506,60,9.103696151202454,179
2520,128,mani,311.07940295809067,69.17237989973552,2.0527293617021276,100,6.386703662779632,235
2520,128,seg,314.63754903984045,69.15116318047734,2.053835840707965,100,6.463699291873258,226
2520,1024,mani,308.812338002832,69.1630635624538,2.215218292682927,100,6.846766730797493,246
2520,1024,seg,311.7494105274236,69.26681955022036,2.2158655870445343,100,6.914915269228184,247
2520,4096,mani,309.52476902856154,68.31310069369835,2.488067713004485,90,8.57879139913842,223
2520,4096,seg,315.92982493663345,69.10230814639905,2.4893081818181817,90,8.76167228434471,220
2520,8192,all,320.9504148863033,72.15503066306175,2.0940870466321244,60,11.24300999019142,193
2520,8192,mani,310.4890140861314,68.34569114926317,2.1082957894736842,60,10.956665395223629,190
2520,8192,seg,316.7587674297015,69.59119485786152,2.084863492063492,60,11.037814883651464,189
