sm_clock,kv_group,kv_cache_lens,graph_mode,batch_size,avg_power,avg_total_energy_delta,avg_print_index,points
1320,1024,1034,mani,1,223.23981818181818,467406.0,16.0,11
1320,1024,1034,mani,2,210.97036363636363,441535.0,16.0,11
1320,1024,1034,mani,3,213.37172727272727,446129.0,16.0,11
1320,1024,1034,mani,4,211.80183333333332,465729.0,16.5,12
1320,1024,1034,mani,5,211.35375,464539.0,16.5,12
1320,1024,1034,mani,6,210.78816666666668,462485.0,17.5,12
1320,1024,1034,mani,7,212.27966666666666,467877.0,16.5,12
1320,1024,1034,mani,8,215.05133333333333,493030.0,17.5,12
1320,1024,1034,mani,9,214.1520833333333,491263.0,17.5,12
1320,1024,1034,mani,10,215.91884615384618,516833.0,18.0,13
1320,1024,1034,mani,11,218.27874999999997,521831.0,17.5,12
1320,1024,1034,mani,12,220.67375,506502.0,17.5,12
1320,1024,1034,mani,13,222.74841666666669,532296.0,17.5,12
1320,1024,1034,mani,14,223.3473846153846,533899.0,18.0,13
1320,1024,1034,mani,15,223.4626153846154,534469.0,18.0,13
1320,1024,1034,mani,16,223.18423076923077,555539.0,18.0,13
1320,1024,1034,seg,1,221.5599090909091,463934.0,16.0,11
1320,1024,1034,seg,2,207.953,437059.0,16.5,12
1320,1024,1034,seg,3,210.93475,463141.0,16.5,12
1320,1024,1034,seg,4,210.65766666666664,462491.0,16.5,12
1320,1024,1034,seg,5,214.23583333333332,470309.0,16.5,12
1320,1024,1034,seg,6,212.80666666666664,488506.0,17.5,12
1320,1024,1034,seg,7,213.75741666666667,490229.0,17.5,12
1320,1024,1034,seg,8,215.60183333333336,494283.0,17.5,12
1320,1024,1034,seg,9,219.61941666666667,524712.0,17.5,12
1320,1024,1034,seg,10,220.55008333333333,504746.0,17.5,12
1320,1024,1034,seg,11,221.62108333333333,508117.0,17.5,12
1320,1024,1034,seg,12,222.35133333333332,531636.0,17.5,12
1320,1024,1034,seg,13,222.30553846153848,532094.0,18.0,13
1320,1024,1034,seg,14,222.59199999999998,532647.0,18.0,13
1320,1024,1034,seg,15,222.4473846153846,532322.0,18.0,13
1320,1024,1034,seg,16,222.58599999999998,532039.0,18.0,13
1320,1024,1035,mani,1,223.27463636363638,467406.0,15.0,11
1320,1024,1035,mani,2,210.6750909090909,441535.0,16.0,11
1320,1024,1035,mani,3,212.40583333333333,447169.0,16.5,12
1320,1024,1035,mani,4,211.71466666666666,465729.0,16.5,12
1320,1024,1035,mani,5,211.78633333333335,465878.0,16.5,12
1320,1024,1035,mani,6,210.04241666666667,462996.0,16.5,12
1320,1024,1035,mani,7,213.02466666666666,488294.0,17.5,12
1320,1024,1035,mani,8,214.95016666666666,493030.0,16.5,12
1320,1024,1035,mani,9,214.12425,490540.0,17.5,12
1320,1024,1035,mani,10,216.02966666666669,495517.0,17.5,12
1320,1024,1035,mani,11,218.33115384615382,499829.0,18.0,13
1320,1024,1035,mani,12,220.63015384615386,528177.0,18.0,13
1320,1024,1035,mani,13,222.76415384615382,532737.0,18.0,13
1320,1024,1035,mani,14,223.31238461538462,534158.0,18.0,13
1320,1024,1035,mani,15,223.69823076923078,534094.0,18.0,13
1320,1024,1035,mani,16,223.1606923076923,533950.0,18.0,13
1320,1024,1035,seg,1,221.68563636363635,442145.0,16.0,11
1320,1024,1035,seg,2,208.7878181818182,458131.0,16.0,11
1320,1024,1035,seg,3,211.018,462305.0,16.5,12
1320,1024,1035,seg,4,210.53341666666665,461191.0,16.5,12
1320,1024,1035,seg,5,213.89758333333336,469688.0,16.5,12
1320,1024,1035,seg,6,212.58474999999999,466971.0,16.5,12
1320,1024,1035,seg,7,214.32674999999998,491427.0,17.5,12
1320,1024,1035,seg,8,215.50316666666666,493579.0,17.5,12
1320,1024,1035,seg,9,219.62684615384615,503850.0,18.0,13
1320,1024,1035,seg,10,220.096,527126.0,18.0,13
1320,1024,1035,seg,11,221.40453846153846,530197.0,18.0,13
1320,1024,1035,seg,12,222.2343076923077,508698.0,18.0,13
1320,1024,1035,seg,13,222.6362307692308,532188.0,18.0,13
1320,1024,1035,seg,14,222.61607692307692,533116.0,18.0,13
1320,1024,1035,seg,15,222.54215384615384,532362.0,18.0,13
1320,1024,1035,seg,16,222.12730769230768,531554.0,18.0,13
1320,1024,1036,mani,1,223.05627272727273,467434.0,15.0,11
1320,1024,1036,mani,2,210.60816666666665,441183.0,16.5,12
1320,1024,1036,mani,3,213.14733333333334,467238.0,16.5,12
1320,1024,1036,mani,4,211.85983333333334,465602.0,16.5,12
1320,1024,1036,mani,5,212.1885,464728.0,16.5,12
1320,1024,1036,mani,6,210.68883333333335,483428.0,16.5,12
1320,1024,1036,mani,7,213.07433333333333,488741.0,16.5,12
1320,1024,1036,mani,8,215.07241666666667,492736.0,16.5,12
1320,1024,1036,mani,9,213.7490769230769,511773.0,18.0,13
1320,1024,1036,mani,10,216.04516666666666,516404.0,17.5,12
1320,1024,1036,mani,11,218.27175,500790.0,17.5,12
