exp_key,total_energy_diff_mj,total_energy_diff_j,power_from_total_w,energy_per_token_j,during_time,repeat_count,sm_clock,batch_size,graph_mode,input_len,avg_power,avg_temperature,energy_per_token_from_avg,time_per_token_s
all_10_2422_16394_16384_45_1.1104_gpu_profile_34749.csv,395096,395.096,355.81412103746396,8.779911111111112,1.1104,45,2422,10,all,16384,,,,0.024675555555555558
all_10_2422_16395_16384_45_1.1107_gpu_profile_34749.csv,396237,396.237,356.74529575943103,8.805266666666666,1.1107,45,2422,10,all,16384,,,,0.024682222222222223
all_10_2422_16396_16384_45_1.1107_gpu_profile_34749.csv,396871,396.871,357.316106959575,8.819355555555555,1.1107,45,2422,10,all,16384,,,,0.024682222222222223
all_10_2422_16397_16384_45_1.1108_gpu_profile_34749.csv,394998,394.998,355.59776737486493,8.777733333333334,1.1108,45,2422,10,all,16384,,,,0.024684444444444446
all_10_2422_16398_16384_45_1.1103_gpu_profile_34749.csv,397407,397.407,357.92758713861116,8.831266666666666,1.1103,45,2422,10,all,16384,,,,0.024673333333333335
all_10_2422_16399_16384_45_1.1103_gpu_profile_34749.csv,432533,432.533,389.56408177969917,9.611844444444445,1.1103,45,2422,10,all,16384,,,,0.024673333333333335
all_10_2422_16400_16384_45_1.1103_gpu_profile_34749.csv,396100,396.1,356.750427812303,8.802222222222223,1.1103,45,2422,10,all,16384,356.1022,55.2,8.786228281333333,0.024673333333333335
all_10_2422_16401_16384_45_1.1105_gpu_profile_34749.csv,396767,396.767,357.2868077442593,8.817044444444445,1.1105,45,2422,10,all,16384,367.0022,55.0,9.056798735555557,0.024677777777777778
all_10_2422_16402_16384_45_1.1108_gpu_profile_34749.csv,396058,396.058,356.5520345696795,8.80128888888889,1.1108,45,2422,10,all,16384,357.55280000000005,56.0,8.825992227555558,0.024684444444444446
all_10_2422_16403_16384_45_1.1111_gpu_profile_34749.csv,395080,395.08,355.57555575555756,8.779555555555556,1.1111,45,2422,10,all,16384,356.0296,55.0,8.790766412444444,0.02469111111111111
all_10_2422_16404_16384_45_1.1116_gpu_profile_34749.csv,397431,397.431,357.53058654192154,8.8318,1.1116,45,2422,10,all,16384,365.3962,55.0,9.026098131555555,0.02470222222222222
all_10_2422_16405_16384_45_1.1113_gpu_profile_34749.csv,432385,432.385,389.0803563394223,9.608555555555556,1.1113,45,2422,10,all,16384,359.025,56.0,8.866321833333332,0.024695555555555554
