exp_key,avg_power,avg_temperature,during_time,total_energy_diff,repeat_count,energy_per_token,energy_per_token_from_avg,sm_clock,batch_size,graph_mode,kv_group,total_energy_diff_full,energy_per_token_from_total
all_1_1230_1024_40_2.6402_gpu_profile_16566.csv,214.05414285714292,39.0,2.6402,278059,40,6951.475,14.128643699285718,1230,1,all,1024,555446.0,13886.15
all_1_1230_1024_40_2.6407_gpu_profile_16566.csv,213.97707142857143,39.0,2.6407,2134513,40,53362.825,14.126231313035714,1230,1,all,1024,2433226.0,60830.65
all_1_1230_1024_40_2.6408_gpu_profile_16566.csv,213.9697619047619,39.0,2.6408,8366313,40,209157.825,14.12628368095238,1230,1,all,1024,8665011.0,216625.275
all_1_1230_1024_40_2.6409_gpu_profile_16566.csv,213.71664285714283,39.0,2.6409,299468,40,7486.7,14.11010705303571,1230,1,all,1024,576598.0,14414.95
all_1_1230_1024_40_2.6411_gpu_profile_16566.csv,213.95396428571422,39.0,2.6411,918484,40,22962.1,14.126845376874993,1230,1,all,1024,1195835.0,29895.875
all_1_1230_1024_40_2.6412_gpu_profile_16566.csv,213.90400000000002,39.0,2.6412,5890540,40,147263.5,14.124081120000003,1230,1,all,1024,6168131.0,154203.275
all_1_1230_1024_40_2.6413_gpu_profile_16566.csv,213.83975,39.0,2.6413,917934,40,22948.35,14.120373291875001,1230,1,all,1024,1195034.0,29875.85
all_1_1230_1024_40_2.6414_gpu_profile_16566.csv,214.09421428571426,39.0,2.6414,277959,40,6948.975,14.13771144035714,1230,1,all,1024,555158.0,13878.95
all_1_1230_1024_40_2.6415_gpu_profile_16566.csv,213.73992857142858,39.0,2.6415,277715,40,6942.875,14.114850533035716,1230,1,all,1024,555239.0,13880.975
all_1_1230_1024_40_2.6417_gpu_profile_16566.csv,214.051,39.0,2.6417,277855,40,6946.375,14.1364631675,1230,1,all,1024,554911.0,13872.775
all_1_1230_1024_40_2.641_gpu_profile_16566.csv,213.74357142857139,39.0,2.641,278057,40,6951.425,14.112419303571425,1230,1,all,1024,576812.0,14420.3
all_1_1230_128_40_2.6351_gpu_profile_16566.csv,213.95678571428576,39.0,2.6351,299264,40,7481.6,14.094938150892862,1230,1,all,128,576162.0,14404.05
all_1_1230_128_40_2.6352_gpu_profile_16566.csv,213.47171428571428,39.0,2.6352,299072,40,7476.8,14.063516537142856,1230,1,all,128,554673.0,13866.825
all_1_1230_128_40_2.6353_gpu_profile_16566.csv,213.78957142857146,39.0,2.6353,278168,40,6954.2,14.08499143964286,1230,1,all,128,555273.0,13881.825
all_1_1230_128_40_2.6354_gpu_profile_16566.csv,213.73172093023257,39.0,2.6354,3412181,40,85304.525,14.081714433488376,1230,1,all,128,3667761.0,91694.025
all_1_1230_128_40_2.6356_gpu_profile_16566.csv,213.84672413793103,39.0,2.6356,298043,40,7451.075,14.090360653448277,1230,1,all,128,553292.0,13832.3
