sm_clock,kv_group,kv_cache_lens,graph_mode,batch_size,avg_power,avg_total_energy_delta,avg_print_index,points
1230,1024,1034,all,1,196.90161538461538,470508.0,18.0,13
1230,1024,1034,all,2,190.35853846153847,474087.0,18.0,13
1230,1024,1034,all,3,191.2063076923077,476433.0,19.0,13
1230,1024,1034,all,4,194.0426153846154,483549.0,18.0,13
1230,1024,1034,all,5,193.88371428571426,502114.0,19.5,14
1230,1024,1034,all,6,195.00561538461537,485872.0,19.0,13
1230,1024,1034,all,7,196.4806153846154,508877.0,19.0,13
1230,1024,1034,all,8,197.8524285714286,512468.0,19.5,14
1230,1024,1034,all,9,198.77146153846155,515641.0,19.0,13
1230,1024,1034,all,10,198.73514285714285,514454.0,19.5,14
1230,1024,1034,all,11,199.39335714285716,516910.0,19.5,14
1230,1024,1034,all,12,200.65271428571427,519752.0,20.5,14
1230,1024,1034,all,13,200.45135714285715,539963.0,20.5,14
1230,1024,1034,all,14,201.0327142857143,561306.0,20.5,14
1230,1024,1034,all,15,203.10449999999997,546873.0,20.5,14
1230,1024,1034,all,16,203.00185714285712,546700.0,20.5,14
1230,1024,1034,mani,1,196.77723076923075,470923.0,19.0,13
1230,1024,1034,mani,2,190.18523076923077,474165.0,18.0,13
1230,1024,1034,mani,3,193.51046153846153,482203.0,19.0,13
1230,1024,1034,mani,4,193.78407692307695,482857.0,18.0,13
1230,1024,1034,mani,5,194.63976923076922,485323.0,18.0,13
1230,1024,1034,mani,6,195.01453846153845,485978.0,19.0,13
1230,1024,1034,mani,7,196.43492307692307,489950.0,19.0,13
1230,1024,1034,mani,8,197.75861538461538,512317.0,19.0,13
1230,1024,1034,mani,9,198.37657142857142,514124.0,19.5,14
1230,1024,1034,mani,10,199.2697142857143,516617.0,19.5,14
1230,1024,1034,mani,11,199.75050000000002,538010.0,20.5,14
1230,1024,1034,mani,12,200.51542857142857,520207.0,20.5,14
1230,1024,1034,mani,13,201.4065,522391.0,19.5,14
1230,1024,1034,mani,14,202.05349999999999,543903.0,19.5,14
1230,1024,1034,mani,15,203.21949999999998,546899.0,20.5,14
1230,1024,1034,mani,16,204.2243333333333,549857.0,21.0,15
1230,1024,1034,seg,1,197.46192307692309,472655.0,18.0,13
1230,1024,1034,seg,2,191.0796923076923,475942.0,18.0,13
1230,1024,1034,seg,3,194.45653846153846,484132.0,19.0,13
1230,1024,1034,seg,4,194.82815384615384,485472.0,19.0,13
1230,1024,1034,seg,5,197.31915384615382,492099.0,19.0,13
1230,1024,1034,seg,6,197.05838461538463,491706.0,19.0,13
1230,1024,1034,seg,7,198.0105384615385,513128.0,19.0,13
1230,1024,1034,seg,8,198.55414285714284,495438.0,19.5,14
1230,1024,1034,seg,9,202.81953846153846,525803.0,19.0,13
1230,1024,1034,seg,10,202.93607142857144,526656.0,19.5,14
1230,1024,1034,seg,11,202.86335714285715,546386.0,20.5,14
1230,1024,1034,seg,12,203.20292857142857,547405.0,19.5,14
1230,1024,1034,seg,13,203.74135714285714,548164.0,19.5,14
1230,1024,1034,seg,14,203.824,548895.0,20.5,14
1230,1024,1034,seg,15,204.35642857142855,549553.0,20.5,14
1230,1024,1034,seg,16,205.3047857142857,552974.0,20.5,14
1230,1024,1035,all,1,196.91130769230767,471142.0,19.0,13
1230,1024,1035,all,2,190.16892307692308,474344.0,18.0,13
1230,1024,1035,all,3,191.2523076923077,476666.0,18.0,13
1230,1024,1035,all,4,193.9843846153846,483549.0,19.0,13
1230,1024,1035,all,5,193.8982307692308,502114.0,19.0,13
1230,1024,1035,all,6,194.99492307692304,505868.0,19.0,13
1230,1024,1035,all,7,196.38653846153846,489826.0,19.0,13
1230,1024,1035,all,8,197.72976923076925,512817.0,19.0,13
1230,1024,1035,all,9,198.92807142857143,515641.0,19.5,14
1230,1024,1035,all,10,198.50242857142857,534181.0,19.5,14
1230,1024,1035,all,11,199.458,536672.0,19.5,14
