graph_mode,sm_clock,kv_group,avg_power_mean,during_time_mean,energy_per_token_mean,total_energy_diff_mean,experiment_count
all,1230,128,196.43265249103877,2.451570776255708,12631.535342465751,1894730.301369863,219
all,1230,1024,197.61499082540482,2.616295652173913,8590.147457180501,1288522.1185770752,253
all,1230,4096,200.98844308206688,2.524152083333333,10620.409652777777,1274449.1583333334,240
all,1230,8192,203.58311717185055,2.0712602620087335,14321.786244541483,1145742.8995633188,229
all,1230,16384,206.5126188527088,2.1410186363636363,24142.59446969697,1448555.6681818182,220
all,1530,128,239.2253778086834,1.9993884057971014,10331.709533011272,1549756.4299516908,207
all,1530,1024,240.6830431573815,2.137558436213992,8562.446227709192,1284366.9341563785,243
all,1530,4096,245.88354928221045,2.0721551282051283,10152.845014245015,1218341.4017094017,234
all,1530,8192,249.65972025625592,1.6962833333333334,16214.792463235297,1297183.3970588236,204
all,1530,16384,254.7864013272407,1.797224,22996.527666666665,1379791.66,200
all,1830,128,288.65451106186975,1.6851814207650273,14412.817959927139,2161922.693989071,183
all,1830,1024,290.115066781023,1.8039411016949152,10272.639378531072,1540895.906779661,236
all,1830,4096,295.47007424252985,1.7498824074074075,11206.654243827159,1344798.5092592593,216
all,1830,8192,300.61064535278035,1.4433629441624367,18718.794225888323,1497503.538071066,197
all,1830,16384,304.53209409810313,1.5065074285714286,31709.477999999996,1902568.68,175
all,2130,128,320.22998337407324,1.6034601123595504,16520.876591760298,2478131.488764045,178
all,2130,1024,323.52707523441296,1.717859825327511,8999.428500727801,1349914.2751091702,229
all,2130,4096,325.4466845300632,1.6775839130434784,9477.908007246375,1137348.9608695651,230
all,2130,8192,322.29851409501407,1.4179693548387098,19456.916532258063,1556553.322580645,186
all,2130,16384,321.74855061826906,1.4723352941176469,31366.10303921569,1881966.1823529413,170
all,2422,128,362.4404482852176,1.574381395348837,18515.930852713176,2777389.6279069767,172
all,2422,1024,363.11480943829287,1.689526050420168,8898.895910364145,1334834.3865546219,238
all,2422,4096,367.773276311968,1.6653128888888886,12090.610222222222,1450873.2266666666,225
all,2422,8192,372.37966214593865,1.4004890625,17227.349479166664,1378187.9583333333,192
